date_ordinal,date,store_menu,store,menu,sales
738521,2023-01-01,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738522,2023-01-02,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738523,2023-01-03,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738524,2023-01-04,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738525,2023-01-05,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738526,2023-01-06,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738527,2023-01-07,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738528,2023-01-08,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738529,2023-01-09,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738530,2023-01-10,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738531,2023-01-11,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738532,2023-01-12,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738533,2023-01-13,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738534,2023-01-14,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738535,2023-01-15,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738536,2023-01-16,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738537,2023-01-17,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,8
738538,2023-01-18,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738539,2023-01-19,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738540,2023-01-20,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738541,2023-01-21,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738542,2023-01-22,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738543,2023-01-23,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,4
738544,2023-01-24,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,2
738545,2023-01-25,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738546,2023-01-26,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738547,2023-01-27,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,8
738548,2023-01-28,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738549,2023-01-29,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,8
738550,2023-01-30,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738551,2023-01-31,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,4
738552,2023-02-01,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,6
738553,2023-02-02,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,2
738554,2023-02-03,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738555,2023-02-04,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,2
738556,2023-02-05,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,2
738557,2023-02-06,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,4
738558,2023-02-07,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,5
738559,2023-02-08,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738560,2023-02-09,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,6
738561,2023-02-10,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,6
738562,2023-02-11,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,3
738563,2023-02-12,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738564,2023-02-13,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,10
738565,2023-02-14,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,11
738566,2023-02-15,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738567,2023-02-16,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738568,2023-02-17,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
738569,2023-02-18,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,9
738570,2023-02-19,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,2
738571,2023-02-20,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,10
738572,2023-02-21,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ,1인 수저세트,0
