영업일자,영업장명_메뉴명,매출수량
2023-01-01,느티나무 셀프BBQ_1인 수저세트,0
2023-01-02,느티나무 셀프BBQ_1인 수저세트,0
2023-01-03,느티나무 셀프BBQ_1인 수저세트,0
2023-01-04,느티나무 셀프BBQ_1인 수저세트,0
2023-01-05,느티나무 셀프BBQ_1인 수저세트,0
2023-01-06,느티나무 셀프BBQ_1인 수저세트,0
2023-01-07,느티나무 셀프BBQ_1인 수저세트,0
2023-01-08,느티나무 셀프BBQ_1인 수저세트,0
2023-01-09,느티나무 셀프BBQ_1인 수저세트,0
2023-01-10,느티나무 셀프BBQ_1인 수저세트,0
2023-01-11,느티나무 셀프BBQ_1인 수저세트,0
2023-01-12,느티나무 셀프BBQ_1인 수저세트,0
2023-01-13,느티나무 셀프BBQ_1인 수저세트,0
2023-01-14,느티나무 셀프BBQ_1인 수저세트,0
2023-01-15,느티나무 셀프BBQ_1인 수저세트,0
2023-01-16,느티나무 셀프BBQ_1인 수저세트,0
2023-01-17,느티나무 셀프BBQ_1인 수저세트,8
2023-01-18,느티나무 셀프BBQ_1인 수저세트,0
2023-01-19,느티나무 셀프BBQ_1인 수저세트,0
2023-01-20,느티나무 셀프BBQ_1인 수저세트,0
2023-01-21,느티나무 셀프BBQ_1인 수저세트,0
2023-01-22,느티나무 셀프BBQ_1인 수저세트,0
2023-01-23,느티나무 셀프BBQ_1인 수저세트,4
2023-01-24,느티나무 셀프BBQ_1인 수저세트,2
2023-01-25,느티나무 셀프BBQ_1인 수저세트,0
2023-01-26,느티나무 셀프BBQ_1인 수저세트,0
2023-01-27,느티나무 셀프BBQ_1인 수저세트,8
2023-01-28,느티나무 셀프BBQ_1인 수저세트,0
2023-01-29,느티나무 셀프BBQ_1인 수저세트,8
2023-01-30,느티나무 셀프BBQ_1인 수저세트,0
2023-01-31,느티나무 셀프BBQ_1인 수저세트,4
2023-02-01,느티나무 셀프BBQ_1인 수저세트,6
2023-02-02,느티나무 셀프BBQ_1인 수저세트,2
2023-02-03,느티나무 셀프BBQ_1인 수저세트,0
2023-02-04,느티나무 셀프BBQ_1인 수저세트,2
2023-02-05,느티나무 셀프BBQ_1인 수저세트,2
2023-02-06,느티나무 셀프BBQ_1인 수저세트,4
2023-02-07,느티나무 셀프BBQ_1인 수저세트,5
2023-02-08,느티나무 셀프BBQ_1인 수저세트,0
2023-02-09,느티나무 셀프BBQ_1인 수저세트,6
2023-02-10,느티나무 셀프BBQ_1인 수저세트,6
2023-02-11,느티나무 셀프BBQ_1인 수저세트,3
2023-02-12,느티나무 셀프BBQ_1인 수저세트,0
2023-02-13,느티나무 셀프BBQ_1인 수저세트,10
2023-02-14,느티나무 셀프BBQ_1인 수저세트,11
2023-02-15,느티나무 셀프BBQ_1인 수저세트,0
2023-02-16,느티나무 셀프BBQ_1인 수저세트,0
2023-02-17,느티나무 셀프BBQ_1인 수저세트,0
2023-02-18,느티나무 셀프BBQ_1인 수저세트,9
2023-02-19,느티나무 셀프BBQ_1인 수저세트,2
2023-02-20,느티나무 셀프BBQ_1인 수저세트,10
2023-02-21,느티나무 셀프BBQ_1인 수저세트,0
2023-02-22,느티나무 셀프BBQ_1인 수저세트,2
2023-02-23,느티나무 셀프BBQ_1인 수저세트,0
2023-02-24,느티나무 셀프BBQ_1인 수저세트,8
2023-02-25,느티나무 셀프BBQ_1인 수저세트,7
2023-02-26,느티나무 셀프BBQ_1인 수저세트,0
2023-02-27,느티나무 셀프BBQ_1인 수저세트,6
2023-02-28,느티나무 셀프BBQ_1인 수저세트,0
2023-03-01,느티나무 셀프BBQ_1인 수저세트,0
2023-03-02,느티나무 셀프BBQ_1인 수저세트,0
2023-03-03,느티나무 셀프BBQ_1인 수저세트,0
2023-03-04,느티나무 셀프BBQ_1인 수저세트,0
2023-03-05,느티나무 셀프BBQ_1인 수저세트,0
2023-03-06,느티나무 셀프BBQ_1인 수저세트,0
2023-03-07,느티나무 셀프BBQ_1인 수저세트,0
2023-03-08,느티나무 셀프BBQ_1인 수저세트,0
2023-03-09,느티나무 셀프BBQ_1인 수저세트,0
2023-03-10,느티나무 셀프BBQ_1인 수저세트,6
2023-03-11,느티나무 셀프BBQ_1인 수저세트,0
2023-03-12,느티나무 셀프BBQ_1인 수저세트,0
2023-03-13,느티나무 셀프BBQ_1인 수저세트,0
2023-03-14,느티나무 셀프BBQ_1인 수저세트,0
2023-03-15,느티나무 셀프BBQ_1인 수저세트,0
2023-03-16,느티나무 셀프BBQ_1인 수저세트,0
2023-03-17,느티나무 셀프BBQ_1인 수저세트,0
2023-03-18,느티나무 셀프BBQ_1인 수저세트,22
2023-03-19,느티나무 셀프BBQ_1인 수저세트,0
2023-03-20,느티나무 셀프BBQ_1인 수저세트,0
2023-03-21,느티나무 셀프BBQ_1인 수저세트,0
2023-03-22,느티나무 셀프BBQ_1인 수저세트,0
2023-03-23,느티나무 셀프BBQ_1인 수저세트,0
2023-03-24,느티나무 셀프BBQ_1인 수저세트,9
2023-03-25,느티나무 셀프BBQ_1인 수저세트,4
2023-03-26,느티나무 셀프BBQ_1인 수저세트,0
2023-03-27,느티나무 셀프BBQ_1인 수저세트,0
2023-03-28,느티나무 셀프BBQ_1인 수저세트,0
2023-03-29,느티나무 셀프BBQ_1인 수저세트,0
2023-03-30,느티나무 셀프BBQ_1인 수저세트,0
2023-03-31,느티나무 셀프BBQ_1인 수저세트,2
2023-04-01,느티나무 셀프BBQ_1인 수저세트,15
2023-04-02,느티나무 셀프BBQ_1인 수저세트,4
2023-04-03,느티나무 셀프BBQ_1인 수저세트,0
2023-04-04,느티나무 셀프BBQ_1인 수저세트,0
2023-04-05,느티나무 셀프BBQ_1인 수저세트,0
2023-04-06,느티나무 셀프BBQ_1인 수저세트,0
2023-04-07,느티나무 셀프BBQ_1인 수저세트,2
2023-04-08,느티나무 셀프BBQ_1인 수저세트,6
2023-04-09,느티나무 셀프BBQ_1인 수저세트,9
2023-04-10,느티나무 셀프BBQ_1인 수저세트,0
2023-04-11,느티나무 셀프BBQ_1인 수저세트,3
2023-04-12,느티나무 셀프BBQ_1인 수저세트,0
2023-04-13,느티나무 셀프BBQ_1인 수저세트,0
2023-04-14,느티나무 셀프BBQ_1인 수저세트,4
2023-04-15,느티나무 셀프BBQ_1인 수저세트,2
2023-04-16,느티나무 셀프BBQ_1인 수저세트,4
2023-04-17,느티나무 셀프BBQ_1인 수저세트,0
2023-04-18,느티나무 셀프BBQ_1인 수저세트,0
2023-04-19,느티나무 셀프BBQ_1인 수저세트,0
2023-04-20,느티나무 셀프BBQ_1인 수저세트,0
