date,store,menu,sales,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Holiday,담하,미라시아,느티나무 셀프BBQ,라그로타,연회장,카페테리아,포레스트릿,화담숲주막,화담숲카페
2023-01-01,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2023-01-02,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-03,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-04,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-05,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-06,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-07,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-01-08,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-01-09,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-10,느티나무 셀프BBQ,1인 수저세트,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-11,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-12,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-13,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-14,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-01-15,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-01-16,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-17,느티나무 셀프BBQ,1인 수저세트,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-18,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-19,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-20,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-21,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2023-01-22,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2023-01-23,느티나무 셀프BBQ,1인 수저세트,4,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-01-24,느티나무 셀프BBQ,1인 수저세트,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2023-01-25,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-26,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-27,느티나무 셀프BBQ,1인 수저세트,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-28,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-01-29,느티나무 셀프BBQ,1인 수저세트,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-01-30,느티나무 셀프BBQ,1인 수저세트,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-01-31,느티나무 셀프BBQ,1인 수저세트,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-01,느티나무 셀프BBQ,1인 수저세트,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-02,느티나무 셀프BBQ,1인 수저세트,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-03,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-04,느티나무 셀프BBQ,1인 수저세트,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-02-05,느티나무 셀프BBQ,1인 수저세트,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-02-06,느티나무 셀프BBQ,1인 수저세트,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-07,느티나무 셀프BBQ,1인 수저세트,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-08,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-09,느티나무 셀프BBQ,1인 수저세트,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-10,느티나무 셀프BBQ,1인 수저세트,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-11,느티나무 셀프BBQ,1인 수저세트,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2023-02-12,느티나무 셀프BBQ,1인 수저세트,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2023-02-13,느티나무 셀프BBQ,1인 수저세트,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-14,느티나무 셀프BBQ,1인 수저세트,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2023-02-15,느티나무 셀프BBQ,1인 수저세트,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
