trial_number,stage,objective_value,params,state,ckpt_path,cfg_path,best_val_loss
0,stage1,181.09660041313572,"{'w_mae': 0.3745401188473625, 'w_mse': 0.9507143064099162, 'w_smape': 0.7319939418114051, 'smape_delta': 0.058006322999333615, 'smape_eps': 0.0002636875533972306, 'batch_size': 512, 'epochs': 21, 'd_model': 256, 'n_heads': 8, 'depth': 3, 'patch_len': 7, 'stride': 2, 'dropout': 0.15427033152408348, 'lr': 0.000750011895041699, 'wd_is_zero': False, 'weight_decay_pos': 7.122305833333853e-08}",COMPLETE,optuna_trial_results/stage1_trial_000/best.pt,optuna_trial_results/stage1_trial_000/config.json,181.09660041313572
1,stage1,203.53595901601415,"{'w_mae': 0.06505159298527952, 'w_mse': 0.9488855372533332, 'w_smape': 0.9656320330745594, 'smape_delta': 0.1369060876012629, 'smape_eps': 0.0006639623079859465, 'batch_size': 256, 'epochs': 16, 'd_model': 256, 'n_heads': 8, 'depth': 2, 'patch_len': 4, 'stride': 2, 'dropout': 0.0975990992289793, 'lr': 0.00037507963596256056, 'wd_is_zero': False, 'weight_decay_pos': 6.078083099681936e-07}",COMPLETE,optuna_trial_results/stage1_trial_001/best.pt,optuna_trial_results/stage1_trial_001/config.json,203.53595901601415
2,stage1,212.39230429647859,"{'w_mae': 0.28093450968738076, 'w_mse': 0.5426960831582485, 'w_smape': 0.14092422497476265, 'smape_delta': 0.13347427443576154, 'smape_eps': 0.00015893148858258123, 'batch_size': 128, 'epochs': 15, 'd_model': 128, 'n_heads': 8, 'depth': 3, 'patch_len': 12, 'stride': 1, 'dropout': 0.21397343616689848, 'lr': 0.0013297554090738672, 'wd_is_zero': False, 'weight_decay_pos': 2.944272359149678e-06}",COMPLETE,optuna_trial_results/stage1_trial_002/best.pt,optuna_trial_results/stage1_trial_002/config.json,212.39230429647859
3,stage1,166.26314284908065,"{'w_mae': 0.5227328293819941, 'w_mse': 0.42754101835854963, 'w_smape': 0.02541912674409519, 'smape_delta': 0.007777092781265553, 'smape_eps': 0.0001215700035639442, 'batch_size': 128, 'epochs': 24, 'd_model': 256, 'n_heads': 8, 'depth': 4, 'patch_len': 12, 'stride': 2, 'dropout': 0.033015577358303023, 'lr': 0.00021711402231880007, 'wd_is_zero': False, 'weight_decay_pos': 0.00020121155449063808}",COMPLETE,optuna_trial_results/stage1_trial_003/best.pt,optuna_trial_results/stage1_trial_003/config.json,166.26314284908065
4,stage1,209.37458713199163,"{'w_mae': 0.006952130531190703, 'w_mse': 0.5107473025775657, 'w_smape': 0.417411003148779, 'smape_delta': 0.01241398697114801, 'smape_eps': 0.0002106265096461377, 'batch_size': 256, 'epochs': 20, 'd_model': 256, 'n_heads': 4, 'depth': 2, 'patch_len': 12, 'stride': 4, 'dropout': 0.07261658145345012, 'lr': 0.0009836162684900027, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage1_trial_004/best.pt,optuna_trial_results/stage1_trial_004/config.json,209.37458713199163
5,stage1,84.38172196819059,"{'w_mae': 0.7282163486118596, 'w_mse': 0.3677831327192532, 'w_smape': 0.6323058305935795, 'smape_delta': 0.06690855515432795, 'smape_eps': 0.002792799778748392, 'batch_size': 256, 'epochs': 17, 'd_model': 256, 'n_heads': 4, 'depth': 4, 'patch_len': 6, 'stride': 1, 'dropout': 0.24516666006036475, 'lr': 0.000660843951593475, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage1_trial_005/best.pt,optuna_trial_results/stage1_trial_005/config.json,84.38172196819059
6,stage1,213.77387331778607,"{'w_mae': 0.09310276780589921, 'w_mse': 0.8972157579533268, 'w_smape': 0.9004180571633305, 'smape_delta': 0.06679133932780128, 'smape_eps': 0.0008223017918502929, 'batch_size': 512, 'epochs': 24, 'd_model': 384, 'n_heads': 8, 'depth': 3, 'patch_len': 8, 'stride': 1, 'dropout': 0.22394742153540723, 'lr': 0.0009111430418810842, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage1_trial_006/best.pt,optuna_trial_results/stage1_trial_006/config.json,213.77387331778607
7,stage1,44.962955808564836,"{'w_mae': 0.5683086033354716, 'w_mse': 0.09367476782809248, 'w_smape': 0.3677158030594335, 'smape_delta': 0.014809483971727143, 'smape_eps': 0.0004555339282531123, 'batch_size': 128, 'epochs': 21, 'd_model': 128, 'n_heads': 4, 'depth': 3, 'patch_len': 7, 'stride': 4, 'dropout': 0.28908599312677585, 'lr': 0.0018196941426454093, 'wd_is_zero': False, 'weight_decay_pos': 0.0001801703646753893}",COMPLETE,optuna_trial_results/stage1_trial_007/best.pt,optuna_trial_results/stage1_trial_007/config.json,44.962955808564836
8,stage1,70.89499700803442,"{'w_mae': 0.31692200515627766, 'w_mse': 0.1694927466860925, 'w_smape': 0.5568012624583502, 'smape_delta': 0.23099085509794084, 'smape_eps': 0.007560726762413614, 'batch_size': 512, 'epochs': 25, 'd_model': 256, 'n_heads': 4, 'depth': 4, 'patch_len': 7, 'stride': 4, 'dropout': 0.2670016025452699, 'lr': 0.0003156892767756196, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage1_trial_008/best.pt,optuna_trial_results/stage1_trial_008/config.json,70.89499700803442
9,stage1,15.903437157656317,"{'w_mae': 0.578280140996174, 'w_mse': 0.035942273796742086, 'w_smape': 0.46559801813246016, 'smape_delta': 0.0461184008797794, 'smape_eps': 0.0005934255548108262, 'batch_size': 128, 'epochs': 24, 'd_model': 320, 'n_heads': 4, 'depth': 3, 'patch_len': 8, 'stride': 1, 'dropout': 0.023536914402679788, 'lr': 0.00010900492537293822, 'wd_is_zero': True}",COMPLETE,optuna_trial_results/stage1_trial_009/best.pt,optuna_trial_results/stage1_trial_009/config.json,15.903437157656317
