영업일자,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_BBQ55(단체),"느티나무 셀프BBQ_대여료 30,000원","느티나무 셀프BBQ_대여료 60,000원","느티나무 셀프BBQ_대여료 90,000원","느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_햇반,느티나무 셀프BBQ_허브솔트,담하_(단체) 공깃밥,담하_(단체) 생목살 김치전골 2.0,담하_(단체) 은이버섯 갈비탕,담하_(단체) 한우 우거지 국밥,담하_(단체) 황태해장국 3/27까지,담하_(정식) 된장찌개,담하_(정식) 물냉면 ,담하_(정식) 비빔냉면,담하_(후식) 된장찌개,담하_(후식) 물냉면,담하_(후식) 비빔냉면,담하_갑오징어 비빔밥,담하_갱시기,담하_공깃밥,담하_꼬막 비빔밥,담하_느린마을 막걸리,담하_담하 한우 불고기,담하_담하 한우 불고기 정식,담하_더덕 한우 지짐,담하_들깨 양지탕,담하_라면사리,담하_룸 이용료,담하_메밀면 사리,담하_명인안동소주,담하_명태회 비빔냉면,담하_문막 복분자 칵테일,담하_봉평메밀 물냉면,담하_생목살 김치찌개,담하_스프라이트,담하_은이버섯 갈비탕,담하_제로콜라,담하_참이슬,담하_처음처럼,담하_카스,담하_콜라,담하_테라,담하_하동 매실 칵테일,담하_한우 떡갈비 정식,담하_한우 미역국 정식,담하_한우 우거지 국밥,담하_한우 차돌박이 된장찌개,담하_황태해장국,라그로타_AUS (200g),라그로타_G-Charge(3),라그로타_Gls.Sileni,라그로타_Gls.미션 서드,라그로타_Open Food,라그로타_그릴드 비프 샐러드,라그로타_까르보나라,라그로타_모둠 해산물 플래터,라그로타_미션 서드 카베르네 쉬라,라그로타_버섯 크림 리조또,라그로타_빵 추가 (1인),라그로타_스프라이트,라그로타_시저 샐러드 ,라그로타_아메리카노,라그로타_알리오 에 올리오 ,라그로타_양갈비 (4ps),라그로타_자몽리치에이드,라그로타_제로콜라,라그로타_카스,라그로타_콜라,라그로타_하이네켄(생),라그로타_한우 (200g),라그로타_해산물 토마토 리조또,라그로타_해산물 토마토 스튜 파스타,라그로타_해산물 토마토 스파게티,"미라시아_(단체)브런치주중 36,000",미라시아_(오븐) 하와이안 쉬림프 피자,미라시아_(화덕) 불고기 페퍼로니 반반피자,미라시아_BBQ Platter,미라시아_BBQ 고기추가,미라시아_공깃밥,미라시아_글라스와인 (레드),미라시아_레인보우칵테일(알코올),미라시아_미라시아 브런치 (패키지),미라시아_버드와이저(무제한),미라시아_보일링 랍스타 플래터,미라시아_보일링 랍스타 플래터(덜매운맛),미라시아_브런치 2인 패키지 ,미라시아_브런치 4인 패키지 ,미라시아_브런치(대인) 주말,미라시아_브런치(대인) 주중,미라시아_브런치(어린이),미라시아_쉬림프 투움바 파스타,미라시아_스텔라(무제한),미라시아_스프라이트,미라시아_애플망고 에이드,미라시아_얼그레이 하이볼,미라시아_오븐구이 윙과 킬바사소세지,미라시아_유자 하이볼,미라시아_잭 애플 토닉,미라시아_칠리 치즈 프라이,미라시아_코카콜라,미라시아_코카콜라(제로),미라시아_콥 샐러드,미라시아_파스타면 추가(150g),미라시아_핑크레몬에이드,연회장_Cass Beer,연회장_Conference L1,연회장_Conference L2,연회장_Conference L3,연회장_Conference M1,연회장_Conference M8,연회장_Conference M9,연회장_Convention Hall,연회장_Cookie Platter,연회장_Grand Ballroom,연회장_OPUS 2,연회장_Regular Coffee,연회장_골뱅이무침,연회장_공깃밥,연회장_돈목살 김치찌개 (밥포함),연회장_로제 치즈떡볶이,연회장_마라샹궈,연회장_매콤 무뼈닭발&계란찜,연회장_모둠 돈육구이(3인),연회장_삼겹살추가 (200g),연회장_야채추가,연회장_왕갈비치킨,연회장_주먹밥 (2ea),카페테리아_공깃밥(추가),카페테리아_구슬아이스크림,카페테리아_단체식 13000(신),카페테리아_단체식 18000(신),카페테리아_돼지고기 김치찌개,카페테리아_복숭아 아이스티,카페테리아_새우 볶음밥,카페테리아_새우튀김 우동,카페테리아_샷 추가,카페테리아_수제 등심 돈까스,카페테리아_아메리카노(HOT),카페테리아_아메리카노(ICE),카페테리아_약 고추장 돌솥비빔밥,카페테리아_어린이 돈까스,카페테리아_오픈푸드,카페테리아_진사골 설렁탕,카페테리아_짜장면,카페테리아_짜장밥,카페테리아_짬뽕,카페테리아_짬뽕밥,카페테리아_치즈돈까스,카페테리아_카페라떼(HOT),카페테리아_카페라떼(ICE),카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,포레스트릿_꼬치어묵,포레스트릿_떡볶이,포레스트릿_복숭아 아이스티,포레스트릿_생수,포레스트릿_스프라이트,포레스트릿_아메리카노(HOT),포레스트릿_아메리카노(ICE),포레스트릿_치즈 핫도그,포레스트릿_카페라떼(HOT),포레스트릿_카페라떼(ICE),포레스트릿_코카콜라,포레스트릿_페스츄리 소시지,화담숲주막_느린마을 막걸리,화담숲주막_단호박 식혜 ,화담숲주막_병천순대,화담숲주막_스프라이트,화담숲주막_참살이 막걸리,화담숲주막_찹쌀식혜,화담숲주막_콜라,화담숲주막_해물파전,화담숲카페_메밀미숫가루,화담숲카페_아메리카노 HOT,화담숲카페_아메리카노 ICE,화담숲카페_카페라떼 ICE,화담숲카페_현미뻥스크림
TEST_00+1일,7.5829773,0.0,6.3838854,3.8310661,1.0600481,1.2692727,0.0,0.91961664,2.085097,1.0273765,0.7058704,0.6471616,1.0187302,2.5198636,15.382288,1.2404069,0.0,1.0441889,1.4704987,2.9263642,0.09669609,1.1209912,0.65722096,0.2968324,2.003191,1.870546,0.0,3.987285,7.3309937,3.083839,1.9577732,1.8893124,1.9258509,1.5575856,0.22223215,0.1506687,25.249323,0.015739515,1.667825,19.713324,11.809729,0.88522,0.046090253,0.78672314,0.28853115,2.3036404,0.4163804,3.9607735,0.98605937,2.9601908,10.007083,0.6914267,5.418323,0.5948661,2.2218087,0.6980297,2.3830597,0.34425303,0.91245997,1.2437146,7.212255,8.553977,11.815624,8.759597,7.9669237,1.7889742,0.78658295,0.62296593,2.1963162,11.644966,1.4974166,3.1325035,0.51619065,1.9517952,3.3574746,0.91794604,0.55627066,1.8278859,0.6176638,2.7628143,2.60721,0.9588521,0.26051217,0.6274293,0.365117,2.3494813,1.526635,0.6832592,1.3674219,3.8860795,0.0,1.1224629,2.2395303,5.8542376,0.7195955,0.5904472,0.3628138,0.7483553,15.071723,4.0583315,1.8019927,0.29695892,4.7646,0.70451915,115.60266,9.062629,31.359129,2.3921897,3.603064,0.71150047,2.7373092,0.7663639,1.7657413,0.90314436,0.42368737,0.66322815,0.8204481,1.3815349,2.0089226,0.9136221,0.14165631,0.0,0.100486554,0.26268747,0.0,0.15751266,0.21504585,0.119521454,0.31123215,0.0,0.14850311,0.034067355,12.974609,1.0385224,0.81202364,1.4332796,0.84567434,0.1866333,0.849579,2.667528,0.821582,0.6439086,1.4443351,0.31618637,5.076076,0.13113138,30.415089,28.204248,8.442038,0.09655078,5.2040443,0.0816584,0.10989908,14.036255,0.09444641,0.055177897,15.999068,4.2643194,0.6076457,0.034127183,7.3246217,0.7487055,4.194834,1.6684498,5.047516,0.04499608,0.072676405,5.6384664,0.023530101,1.707888,0.08895367,5.846058,0.7886266,0.42184716,6.671314,1.3643255,0.33824396,1.6147238,1.134789,0.97150433,18.886301,10.467523,22.044134,6.2484994,19.124083,17.040487,7.0180435,61.413055,38.646084,6.33416,34.926605,9.592996,22.673325
TEST_00+2일,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,9.0,43.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,6.0,1.0,6.0,3.0,1.0,15.0,7.0,2.0,6.0,2.0,3.0
TEST_00+3일,4.0,24.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,6.0,1.0,1.0,18.0,6.0,1.0,1.0,1.0,4.0,10.0,1.0,33.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,31.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,2.0,1.0,4.0,30.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,35.0,56.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,5.0,9.0,2.0,10.0,6.0,3.0,27.0,20.0,3.0,21.0,4.0,8.0
TEST_00+4일,4.0,43.0,2.0,1.0,1.0,1.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,11.0,1.0,13.0,1.0,1.0,34.0,8.0,1.0,1.0,1.0,2.0,10.0,1.0,27.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,33.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,9.0,2.0,1.0,1.0,2.0,1.0,5.0,37.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,43.0,57.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,5.0,11.0,2.0,9.0,8.0,3.0,29.0,20.0,3.0,24.0,5.0,8.0
TEST_00+5일,5.0,76.0,2.0,1.0,1.0,1.0,20.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,14.0,1.0,29.0,1.0,1.0,63.0,19.0,1.0,1.0,2.0,14.0,25.0,2.0,79.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,12.0,1.0,1.0,9.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,95.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,11.0,2.0,1.0,1.0,2.0,1.0,8.0,63.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,44.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,2.0,1.0,73.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,96.0,123.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,5.0,10.0,2.0,10.0,8.0,4.0,29.0,21.0,4.0,32.0,5.0,11.0
TEST_00+6일,10.0,44.0,6.0,3.0,1.0,2.0,10.0,4.0,3.0,1.0,1.0,1.0,1.0,7.0,27.0,2.0,16.0,1.0,2.0,36.0,10.0,2.0,1.0,2.0,13.0,16.0,1.0,98.0,5.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,23.0,1.0,2.0,19.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,6.0,4.0,5.0,7.0,4.0,2.0,1.0,1.0,2.0,6.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,78.0,1.0,2.0,6.0,1.0,2.0,1.0,1.0,16.0,4.0,1.0,1.0,4.0,1.0,24.0,39.0,10.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,48.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,4.0,1.0,106.0,93.0,6.0,1.0,4.0,1.0,1.0,9.0,1.0,1.0,11.0,3.0,1.0,1.0,5.0,1.0,2.0,2.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,16.0,8.0,14.0,5.0,17.0,12.0,7.0,52.0,37.0,5.0,47.0,9.0,19.0
TEST_00+7일,14.0,1.0,11.0,6.0,2.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,2.0,7.0,38.0,3.0,5.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,10.0,2.0,1.0,51.0,8.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,37.0,1.0,2.0,30.0,12.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0,4.0,11.0,1.0,6.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,9.0,8.0,12.0,9.0,10.0,3.0,1.0,1.0,3.0,9.0,2.0,5.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,6.0,4.0,1.0,3.0,9.0,1.0,1.0,1.0,1.0,18.0,7.0,2.0,1.0,5.0,1.0,104.0,6.0,28.0,3.0,5.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,3.0,2.0,3.0,2.0,1.0,2.0,7.0,2.0,1.0,4.0,1.0,7.0,1.0,92.0,37.0,11.0,1.0,8.0,1.0,1.0,16.0,1.0,1.0,20.0,6.0,1.0,1.0,10.0,1.0,5.0,2.0,6.0,1.0,1.0,8.0,1.0,3.0,1.0,10.0,1.0,1.0,9.0,2.0,1.0,2.0,2.0,1.0,27.0,14.0,26.0,9.0,25.0,23.0,12.0,89.0,61.0,8.0,62.0,15.0,33.0
TEST_01+1일,5.0,1.0,11.0,5.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,5.0,4.0,2.0,1.0,1.0,46.0,1.0,2.0,30.0,12.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,6.0,10.0,2.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,13.0,8.0,11.0,8.0,9.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,5.0,9.0,1.0,1.0,1.0,1.0,20.0,8.0,2.0,1.0,8.0,1.0,95.0,1.0,50.0,4.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,4.0,4.0,3.0,1.0,1.0,7.0,1.0,1.0,5.0,2.0,7.0,1.0,5.0,7.0,12.0,1.0,8.0,1.0,1.0,19.0,1.0,1.0,18.0,7.0,1.0,1.0,13.0,1.0,6.0,3.0,8.0,1.0,1.0,15.0,1.0,1.0,1.0,9.0,2.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,8.0,6.0,10.0,4.0,10.0,8.0,4.0,26.0,25.0,1.0,22.0,4.0,21.0
TEST_01+2일,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,31.0,1.0,1.0,22.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,8.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,5.0,6.0,7.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,23.0,3.0,1.0,1.0,8.0,1.0,4.0,1.0,35.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,8.0,1.0,5.0,1.0,1.0,12.0,1.0,1.0,14.0,5.0,1.0,1.0,8.0,1.0,4.0,2.0,5.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,1.0,5.0,5.0,2.0,15.0,14.0,1.0,9.0,3.0,10.0
TEST_01+3일,3.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,32.0,1.0,1.0,25.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,9.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,8.0,5.0,7.0,8.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,26.0,5.0,1.0,1.0,8.0,1.0,2.0,1.0,37.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,4.0,3.0,4.0,2.0,1.0,2.0,6.0,1.0,1.0,4.0,1.0,6.0,1.0,7.0,2.0,8.0,1.0,6.0,1.0,1.0,13.0,1.0,1.0,15.0,5.0,1.0,1.0,9.0,1.0,4.0,2.0,7.0,1.0,1.0,10.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,7.0,2.0,7.0,6.0,3.0,21.0,20.0,1.0,15.0,4.0,15.0
