영업일자,영업장명_메뉴명,매출수량,요일,월,영업장명,메뉴명,분기,menu_type_refined,Holiday,is_damha,is_mirashia,lag_1,lag_7,lag_14,rolling_7_mean,rolling_14_mean,rolling_7_std,rolling_7_diff
2023-01-01,느티나무 셀프BBQ_BBQ55(단체),0,6,1,느티나무 셀프BBQ,BBQ55(단체),1,food,1,0,0,,,,,,,
2023-01-02,느티나무 셀프BBQ_BBQ55(단체),0,0,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,,,,,,
2023-01-03,느티나무 셀프BBQ_BBQ55(단체),0,1,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,,,,,,
2023-01-04,느티나무 셀프BBQ_BBQ55(단체),0,2,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,,,,,,
2023-01-05,느티나무 셀프BBQ_BBQ55(단체),19,3,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,,,,,,
2023-01-06,느티나무 셀프BBQ_BBQ55(단체),0,4,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,19.0,,,,,,
2023-01-07,느티나무 셀프BBQ_BBQ55(단체),0,5,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,,,,,,
2023-01-08,느티나무 셀프BBQ_BBQ55(단체),0,6,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,,2.7142857142857144,,7.1813249871753175,0.0
2023-01-09,느티나무 셀프BBQ_BBQ55(단체),0,0,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,,2.7142857142857144,,7.1813249871753175,0.0
2023-01-10,느티나무 셀프BBQ_BBQ55(단체),0,1,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,,2.7142857142857144,,7.1813249871753175,0.0
2023-01-11,느티나무 셀프BBQ_BBQ55(단체),19,2,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,,2.7142857142857144,,7.1813249871753175,0.0
2023-01-12,느티나무 셀프BBQ_BBQ55(단체),0,3,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,19.0,19.0,,5.428571428571429,,9.271050693011066,0.0
2023-01-13,느티나무 셀프BBQ_BBQ55(단체),0,4,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,,2.7142857142857144,,7.1813249871753175,0.0
2023-01-14,느티나무 셀프BBQ_BBQ55(단체),0,5,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,,2.7142857142857144,,7.1813249871753175,0.0
2023-01-15,느티나무 셀프BBQ_BBQ55(단체),0,6,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,2.7142857142857144,2.7142857142857144,7.1813249871753175,0.0
2023-01-16,느티나무 셀프BBQ_BBQ55(단체),50,0,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,2.7142857142857144,2.7142857142857144,7.1813249871753175,0.0
2023-01-17,느티나무 셀프BBQ_BBQ55(단체),0,1,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,50.0,0.0,0.0,9.857142857142858,6.285714285714286,19.065051546643943,50.0
2023-01-18,느티나무 셀프BBQ_BBQ55(단체),0,2,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,19.0,0.0,9.857142857142858,6.285714285714286,19.065051546643943,-19.0
2023-01-19,느티나무 셀프BBQ_BBQ55(단체),0,3,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,19.0,7.142857142857143,6.285714285714286,18.89822365046136,0.0
2023-01-20,느티나무 셀프BBQ_BBQ55(단체),0,4,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,7.142857142857143,4.928571428571429,18.89822365046136,0.0
2023-01-21,느티나무 셀프BBQ_BBQ55(단체),0,5,1,느티나무 셀프BBQ,BBQ55(단체),1,food,1,0,0,0.0,0.0,0.0,7.142857142857143,4.928571428571429,18.89822365046136,0.0
2023-01-22,느티나무 셀프BBQ_BBQ55(단체),0,6,1,느티나무 셀프BBQ,BBQ55(단체),1,food,1,0,0,0.0,0.0,0.0,7.142857142857143,4.928571428571429,18.89822365046136,0.0
2023-01-23,느티나무 셀프BBQ_BBQ55(단체),0,0,1,느티나무 셀프BBQ,BBQ55(단체),1,food,1,0,0,0.0,50.0,0.0,7.142857142857143,4.928571428571429,18.89822365046136,-50.0
2023-01-24,느티나무 셀프BBQ_BBQ55(단체),0,1,1,느티나무 셀프BBQ,BBQ55(단체),1,food,1,0,0,0.0,0.0,0.0,0.0,4.928571428571429,0.0,0.0
2023-01-25,느티나무 셀프BBQ_BBQ55(단체),0,2,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,19.0,0.0,4.928571428571429,0.0,0.0
2023-01-26,느티나무 셀프BBQ_BBQ55(단체),0,3,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0
2023-01-27,느티나무 셀프BBQ_BBQ55(단체),0,4,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0
2023-01-28,느티나무 셀프BBQ_BBQ55(단체),0,5,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0
2023-01-29,느티나무 셀프BBQ_BBQ55(단체),0,6,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0
2023-01-30,느티나무 셀프BBQ_BBQ55(단체),0,0,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,50.0,0.0,3.5714285714285716,0.0,0.0
2023-01-31,느티나무 셀프BBQ_BBQ55(단체),0,1,1,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,느티나무 셀프BBQ_BBQ55(단체),0,2,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-02,느티나무 셀프BBQ_BBQ55(단체),110,3,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-03,느티나무 셀프BBQ_BBQ55(단체),0,4,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,110.0,0.0,0.0,15.714285714285714,7.857142857142857,41.576092031014994,110.0
2023-02-04,느티나무 셀프BBQ_BBQ55(단체),0,5,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,15.714285714285714,7.857142857142857,41.576092031014994,0.0
2023-02-05,느티나무 셀프BBQ_BBQ55(단체),0,6,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,15.714285714285714,7.857142857142857,41.576092031014994,0.0
2023-02-06,느티나무 셀프BBQ_BBQ55(단체),0,0,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,15.714285714285714,7.857142857142857,41.576092031014994,0.0
2023-02-07,느티나무 셀프BBQ_BBQ55(단체),0,1,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,15.714285714285714,7.857142857142857,41.576092031014994,0.0
2023-02-08,느티나무 셀프BBQ_BBQ55(단체),0,2,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,15.714285714285714,7.857142857142857,41.576092031014994,0.0
2023-02-09,느티나무 셀프BBQ_BBQ55(단체),0,3,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,110.0,0.0,15.714285714285714,7.857142857142857,41.576092031014994,-110.0
2023-02-10,느티나무 셀프BBQ_BBQ55(단체),18,4,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,0.0,7.857142857142857,0.0,0.0
2023-02-11,느티나무 셀프BBQ_BBQ55(단체),0,5,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,18.0,0.0,0.0,2.5714285714285716,9.142857142857142,6.803360514166092,18.0
2023-02-12,느티나무 셀프BBQ_BBQ55(단체),0,6,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,2.5714285714285716,9.142857142857142,6.803360514166092,0.0
2023-02-13,느티나무 셀프BBQ_BBQ55(단체),0,0,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,2.5714285714285716,9.142857142857142,6.803360514166092,0.0
2023-02-14,느티나무 셀프BBQ_BBQ55(단체),0,1,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,2.5714285714285716,9.142857142857142,6.803360514166092,0.0
2023-02-15,느티나무 셀프BBQ_BBQ55(단체),0,2,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,2.5714285714285716,9.142857142857142,6.803360514166092,0.0
2023-02-16,느티나무 셀프BBQ_BBQ55(단체),0,3,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,110.0,2.5714285714285716,9.142857142857142,6.803360514166092,0.0
2023-02-17,느티나무 셀프BBQ_BBQ55(단체),0,4,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,18.0,0.0,2.5714285714285716,1.2857142857142858,6.803360514166092,-18.0
2023-02-18,느티나무 셀프BBQ_BBQ55(단체),25,5,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.0
2023-02-19,느티나무 셀프BBQ_BBQ55(단체),0,6,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,25.0,0.0,0.0,3.5714285714285716,3.0714285714285716,9.449111825230684,25.0
2023-02-20,느티나무 셀프BBQ_BBQ55(단체),0,0,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,3.5714285714285716,3.0714285714285716,9.449111825230684,0.0
2023-02-21,느티나무 셀프BBQ_BBQ55(단체),0,1,2,느티나무 셀프BBQ,BBQ55(단체),1,food,0,0,0,0.0,0.0,0.0,3.5714285714285716,3.0714285714285716,9.449111825230684,0.0
