영업일자,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_BBQ55(단체),"느티나무 셀프BBQ_대여료 30,000원","느티나무 셀프BBQ_대여료 60,000원","느티나무 셀프BBQ_대여료 90,000원","느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_햇반,느티나무 셀프BBQ_허브솔트,담하_(단체) 공깃밥,담하_(단체) 생목살 김치전골 2.0,담하_(단체) 은이버섯 갈비탕,담하_(단체) 한우 우거지 국밥,담하_(단체) 황태해장국 3/27까지,담하_(정식) 된장찌개,담하_(정식) 물냉면 ,담하_(정식) 비빔냉면,담하_(후식) 된장찌개,담하_(후식) 물냉면,담하_(후식) 비빔냉면,담하_갑오징어 비빔밥,담하_갱시기,담하_공깃밥,담하_꼬막 비빔밥,담하_느린마을 막걸리,담하_담하 한우 불고기,담하_담하 한우 불고기 정식,담하_더덕 한우 지짐,담하_들깨 양지탕,담하_라면사리,담하_룸 이용료,담하_메밀면 사리,담하_명인안동소주,담하_명태회 비빔냉면,담하_문막 복분자 칵테일,담하_봉평메밀 물냉면,담하_생목살 김치찌개,담하_스프라이트,담하_은이버섯 갈비탕,담하_제로콜라,담하_참이슬,담하_처음처럼,담하_카스,담하_콜라,담하_테라,담하_하동 매실 칵테일,담하_한우 떡갈비 정식,담하_한우 미역국 정식,담하_한우 우거지 국밥,담하_한우 차돌박이 된장찌개,담하_황태해장국,라그로타_AUS (200g),라그로타_G-Charge(3),라그로타_Gls.Sileni,라그로타_Gls.미션 서드,라그로타_Open Food,라그로타_그릴드 비프 샐러드,라그로타_까르보나라,라그로타_모둠 해산물 플래터,라그로타_미션 서드 카베르네 쉬라,라그로타_버섯 크림 리조또,라그로타_빵 추가 (1인),라그로타_스프라이트,라그로타_시저 샐러드 ,라그로타_아메리카노,라그로타_알리오 에 올리오 ,라그로타_양갈비 (4ps),라그로타_자몽리치에이드,라그로타_제로콜라,라그로타_카스,라그로타_콜라,라그로타_하이네켄(생),라그로타_한우 (200g),라그로타_해산물 토마토 리조또,라그로타_해산물 토마토 스튜 파스타,라그로타_해산물 토마토 스파게티,"미라시아_(단체)브런치주중 36,000",미라시아_(오븐) 하와이안 쉬림프 피자,미라시아_(화덕) 불고기 페퍼로니 반반피자,미라시아_BBQ Platter,미라시아_BBQ 고기추가,미라시아_공깃밥,미라시아_글라스와인 (레드),미라시아_레인보우칵테일(알코올),미라시아_미라시아 브런치 (패키지),미라시아_버드와이저(무제한),미라시아_보일링 랍스타 플래터,미라시아_보일링 랍스타 플래터(덜매운맛),미라시아_브런치 2인 패키지 ,미라시아_브런치 4인 패키지 ,미라시아_브런치(대인) 주말,미라시아_브런치(대인) 주중,미라시아_브런치(어린이),미라시아_쉬림프 투움바 파스타,미라시아_스텔라(무제한),미라시아_스프라이트,미라시아_애플망고 에이드,미라시아_얼그레이 하이볼,미라시아_오븐구이 윙과 킬바사소세지,미라시아_유자 하이볼,미라시아_잭 애플 토닉,미라시아_칠리 치즈 프라이,미라시아_코카콜라,미라시아_코카콜라(제로),미라시아_콥 샐러드,미라시아_파스타면 추가(150g),미라시아_핑크레몬에이드,연회장_Cass Beer,연회장_Conference L1,연회장_Conference L2,연회장_Conference L3,연회장_Conference M1,연회장_Conference M8,연회장_Conference M9,연회장_Convention Hall,연회장_Cookie Platter,연회장_Grand Ballroom,연회장_OPUS 2,연회장_Regular Coffee,연회장_골뱅이무침,연회장_공깃밥,연회장_돈목살 김치찌개 (밥포함),연회장_로제 치즈떡볶이,연회장_마라샹궈,연회장_매콤 무뼈닭발&계란찜,연회장_모둠 돈육구이(3인),연회장_삼겹살추가 (200g),연회장_야채추가,연회장_왕갈비치킨,연회장_주먹밥 (2ea),카페테리아_공깃밥(추가),카페테리아_구슬아이스크림,카페테리아_단체식 13000(신),카페테리아_단체식 18000(신),카페테리아_돼지고기 김치찌개,카페테리아_복숭아 아이스티,카페테리아_새우 볶음밥,카페테리아_새우튀김 우동,카페테리아_샷 추가,카페테리아_수제 등심 돈까스,카페테리아_아메리카노(HOT),카페테리아_아메리카노(ICE),카페테리아_약 고추장 돌솥비빔밥,카페테리아_어린이 돈까스,카페테리아_오픈푸드,카페테리아_진사골 설렁탕,카페테리아_짜장면,카페테리아_짜장밥,카페테리아_짬뽕,카페테리아_짬뽕밥,카페테리아_치즈돈까스,카페테리아_카페라떼(HOT),카페테리아_카페라떼(ICE),카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,포레스트릿_꼬치어묵,포레스트릿_떡볶이,포레스트릿_복숭아 아이스티,포레스트릿_생수,포레스트릿_스프라이트,포레스트릿_아메리카노(HOT),포레스트릿_아메리카노(ICE),포레스트릿_치즈 핫도그,포레스트릿_카페라떼(HOT),포레스트릿_카페라떼(ICE),포레스트릿_코카콜라,포레스트릿_페스츄리 소시지,화담숲주막_느린마을 막걸리,화담숲주막_단호박 식혜 ,화담숲주막_병천순대,화담숲주막_스프라이트,화담숲주막_참살이 막걸리,화담숲주막_찹쌀식혜,화담숲주막_콜라,화담숲주막_해물파전,화담숲카페_메밀미숫가루,화담숲카페_아메리카노 HOT,화담숲카페_아메리카노 ICE,화담숲카페_카페라떼 ICE,화담숲카페_현미뻥스크림
TEST_00+1일,12.83161735534668,36.86190414428711,6.995957374572754,0.0,0,0,17.73163604736328,0.0,0.0,0,0,0,0,0.0,28.67048454284668,0,22.42551612854004,0,0,31.311363220214844,15.729939460754395,0,0,0,47.56422805786133,19.512245178222656,0.7527802586555481,36.55385971069336,0.0,0.0,0.0,0,0,0,0,0.0,27.45127296447754,0.0,0,24.21695327758789,1.7766640186309814,0,0,0,0,0,0,0.0,0,0,7.703664779663086,0,0.0,0,0,0,0,0,0,0,0.0,6.463064670562744,10.871208190917969,2.460088014602661,7.981224536895752,0,0,0,0,12.19102668762207,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,33.42982864379883,0,0.0,2.0368378162384033,0,0,0,0,16.970855712890625,0.0,0,0,0.0,0,80.32964324951172,19.87356185913086,30.71050262451172,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,31.86107635498047,0,0,0,0,0,0,0,0.0,0,0,40.163597106933594,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.31403762102127075,0.0,88.67524719238281,45.72303009033203,8.971597671508789,0.0,3.2595369815826416,0.0,0,15.762974739074707,0.0,0.0,19.08731460571289,0.0,0.0,0.0,4.705663681030273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.358590126037598,0.0,0.0,8.156583786010742,0.0,0.0,0.0,0.0,0.0,23.200456619262695,9.842556953430176,23.39645004272461,5.006301403045654,24.225460052490234,18.846435546875,6.370507717132568,78.59249114990234,53.86136245727539,0.0,51.061302185058594,15.576218605041504,29.443883895874023
TEST_00+2일,13.49662971496582,36.086524963378906,7.9987874031066895,0.0,0,0,18.109169006347656,0.0,0.0,0,0,0,0,0.5537482500076294,28.39447021484375,0,22.524791717529297,0,0,30.875911712646484,16.22528648376465,0,0,0,46.12379837036133,19.785415649414062,2.112431049346924,35.798912048339844,0.0,0.0,0.0,0,0,0,0,0.0,27.249008178710938,0.0,0,24.209280014038086,3.078024387359619,0,0,0,0,0,0,0.0,0,0,8.666276931762695,0,0.0,0,0,0,0,0,0,0,0.2342292070388794,7.49692440032959,11.65032958984375,3.7226457595825195,8.927748680114746,0,0,0,0,12.893328666687012,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,32.86622619628906,0,0.0,3.3234357833862305,0,0,0,0,17.39337921142578,0.0,0,0,0.0,0,76.80030822753906,20.125022888183594,30.310943603515625,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,31.39409828186035,0,0,0,0,0,0,0,0.0,0,0,39.185340881347656,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1.697745442390442,0.0,84.6015625,44.39874267578125,9.860710144042969,0.0,4.476193428039551,0.0,0,16.25617027282715,0.0,0.0,19.38458824157715,0.0,0.0,0.0,5.840517044067383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.22541332244873,0.0,0.0,9.09326457977295,0.0,0.0,0.0,0.0,0.0,23.253097534179688,10.681344985961914,23.43746566772461,6.123478889465332,24.216896057128906,19.15808868408203,7.409432411193848,75.17489624023438,52.02540588378906,0.6367307901382446,49.40089416503906,16.0808162689209,29.12046241760254
TEST_00+3일,13.229270935058594,35.123207092285156,7.895942687988281,0.0,0,0,17.704158782958984,0.0,0.0,0,0,0,0,0.6712620854377747,27.671228408813477,0,21.985017776489258,0,0,30.07732582092285,15.877227783203125,0,0,0,44.83485794067383,19.329822540283203,2.184464693069458,34.84543991088867,0.0,0.0,0.0,0,0,0,0,0.0,26.562088012695312,0.0,0,23.616594314575195,3.121363401412964,0,0,0,0,0,0,0.0,0,0,8.543689727783203,0,0.0,0,0,0,0,0,0,0,0.36083918809890747,7.409029483795166,11.438623428344727,3.746126890182495,8.797337532043457,0,0,0,0,12.645893096923828,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,32.005836486816406,0,0.0,3.358654737472534,0,0,0,0,17.00892448425293,0.0,0,0,0.0,0,74.49971771240234,19.65859603881836,29.52819061279297,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,30.580598831176758,0,0,0,0,0,0,0,0.0,0,0,38.12287902832031,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1.7809827327728271,0.0,82.03862762451172,43.16877746582031,9.70237922668457,0.0,4.477381229400635,0.0,0,15.906063079833984,0.0,0.0,18.939281463623047,0.0,0.0,0.0,5.801762104034424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05616283416748,0.0,0.0,8.958057403564453,0.0,0.0,0.0,0.0,0.0,22.68971061706543,10.498781204223633,22.86855125427246,6.076080799102783,23.62392807006836,18.72001838684082,7.324275493621826,72.92842864990234,50.54461669921875,0.7515662312507629,48.00591278076172,15.736056327819824,28.3747615814209
TEST_00+4일,13.465847969055176,35.06248092651367,8.203261375427246,0.0,0,0,17.879201889038086,0.0,0.0,0,0,0,0,1.0712765455245972,27.713077545166016,0,22.1024169921875,0,0,30.084835052490234,16.076936721801758,0,0,0,44.64637756347656,19.482818603515625,2.5652222633361816,34.787960052490234,0.0,0.0,0.0,0,0,0,0,0.0,26.618755340576172,0.0,0,23.713069915771484,3.4902634620666504,0,0,0,0,0,0,0.0,0,0,8.842230796813965,0,0.0,0,0,0,0,0,0,0,0.7648762464523315,7.722646236419678,11.699070930480957,4.107579708099365,9.092684745788574,0,0,0,0,12.889167785644531,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,31.986648559570312,0,0.0,3.7250595092773438,0,0,0,0,17.194435119628906,0.0,0,0,0.0,0,73.91207122802734,19.80746078491211,29.544700622558594,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,30.58043670654297,0,0,0,0,0,0,0,0.15586888790130615,0,0,38.02111053466797,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,2.1674227714538574,0.0,81.34927368164062,42.99961471557617,9.985909461975098,0.0,4.829660892486572,0.0,0,16.10657501220703,0.0,0.0,19.098976135253906,0.0,0.0,0.0,6.13635778427124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.335015296936035,0.0,0.0,9.251016616821289,0.0,0.0,0.0,0.0,0.0,22.798864364624023,10.771562576293945,22.975242614746094,6.407312870025635,23.720441818237305,18.882572174072266,7.638919353485107,72.363037109375,50.28023910522461,1.1506646871566772,47.775264739990234,15.9387788772583,28.407089233398438
TEST_00+5일,13.189157485961914,34.689109802246094,7.956846237182617,0.0,0,0,17.577476501464844,0.0,0.0,0,0,0,0,0.8698857426643372,27.36842918395996,0,21.779863357543945,0,0,29.72865867614746,15.784598350524902,0,0,0,44.24584197998047,19.172706604003906,2.353187322616577,34.41455078125,0.0,0.0,0.0,0,0,0,0,0.0,26.277923583984375,0.0,0,23.384592056274414,3.2720401287078857,0,0,0,0,0,0,0.0,0,0,8.590694427490234,0,0.0,0,0,0,0,0,0,0,0.5657828450202942,7.479103088378906,11.43195915222168,3.8856565952301025,8.840861320495605,0,0,0,0,12.613788604736328,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,31.62287712097168,0,0.0,3.5057570934295654,0,0,0,0,16.897682189941406,0.0,0,0,0.0,0,73.44873046875,19.495939254760742,29.192594528198242,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,30.221202850341797,0,0,0,0,0,0,0,0.0,0,0,37.63747024536133,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1.9589474201202393,0.0,80.87738037109375,42.601112365722656,9.728737831115723,0.0,4.604180335998535,0.0,0,15.815593719482422,0.0,0.0,18.792991638183594,0.0,0.0,0.0,5.901215553283691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.075840950012207,0.0,0.0,8.99698257446289,0.0,0.0,0.0,0.0,0.0,22.474750518798828,10.509685516357422,22.650127410888672,6.171802043914795,23.391935348510742,18.57723045349121,7.395800590515137,71.90206909179688,49.864112854003906,0.948940098285675,47.36578369140625,15.648552894592285,28.05958366394043
TEST_00+6일,12.580784797668457,34.36906051635742,7.285682678222656,0.0,0,0,17.025632858276367,0.0,0.0,0,0,0,0,0.12044668197631836,26.944059371948242,0,21.282058715820312,0,0,29.337947845458984,15.210290908813477,0,0,0,44.065860748291016,18.641010284423828,1.6197919845581055,34.09027099609375,0.0,0.0,0.0,0,0,0,0,0.0,25.83911895751953,0.0,0,22.906648635864258,2.5494728088378906,0,0,0,0,0,0,0.0,0,0,7.928780555725098,0,0.0,0,0,0,0,0,0,0,0.0,6.802206516265869,10.80245590209961,3.1693897247314453,8.179954528808594,0,0,0,0,12.000213623046875,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,31.258543014526367,0,0.0,2.7849602699279785,0,0,0,0,16.335851669311523,0.0,0,0,0.0,0,73.73477172851562,18.968812942504883,28.79330062866211,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,29.836708068847656,0,0,0,0,0,0,0,0.0,0,0,37.36136245727539,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1.2210078239440918,0.0,81.28970336914062,42.39846420288086,9.078731536865234,0.0,3.894359588623047,0.0,0,15.240041732788086,0.0,0.0,18.25505828857422,0.0,0.0,0.0,5.207542419433594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.429738998413086,0.0,0.0,8.339359283447266,0.0,0.0,0.0,0.0,0.0,21.984975814819336,9.86915111541748,22.162702560424805,5.479823112487793,22.914405822753906,18.036619186401367,6.718201637268066,72.16352844238281,49.77047348022461,0.2008681297302246,47.234344482421875,15.070693016052246,27.645221710205078
TEST_00+7일,12.643683433532715,34.90676498413086,7.2327399253845215,0.0,0,0,17.18256950378418,0.0,0.0,0,0,0,0,0.0,27.323619842529297,0,21.532203674316406,0,0,29.765296936035156,15.327345848083496,0,0,0,44.82199478149414,18.833683013916016,1.4401134252548218,34.62221145629883,0.0,0.0,0.0,0,0,0,0,0.0,26.193283081054688,0.0,0,23.196353912353516,2.3894686698913574,0,0,0,0,0,0,0.0,0,0,7.887640476226807,0,0.0,0,0,0,0,0,0,0,0.0,6.738775730133057,10.826421737670898,3.024113178253174,8.146617889404297,0,0,0,0,12.047572135925293,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,31.728309631347656,0,0.0,2.631460666656494,0,0,0,0,16.481075286865234,0.0,0,0,0.0,0,75.14292907714844,19.16840171813965,29.212766647338867,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,30.275562286376953,0,0,0,0,0,0,0,0.0,0,0,37.96378707885742,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,1.0330332517623901,0.0,82.86711120605469,43.11167907714844,9.065073013305664,0.0,3.767045497894287,0.0,0,15.3612699508667,0.0,0.0,18.443618774414062,0.0,0.0,0.0,5.10709810256958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.423718452453613,0.0,0.0,8.30739974975586,0.0,0.0,0.0,0.0,0.0,22.25472068786621,9.872650146484375,22.435958862304688,5.387357234954834,23.20412826538086,18.219398498535156,6.6528449058532715,73.53851318359375,50.6533317565918,0.0,48.059814453125,15.18826675415039,28.0393009185791
TEST_01+1일,4.675816059112549,3.4536497592926025,9.396981239318848,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,19.922931671142578,0,0.0,0,0,7.015520095825195,0.0,0,0,0,19.074230194091797,28.91415786743164,2.4505326747894287,30.942707061767578,0.0,0.0,0.0,0,0,0,0,0.0,41.275760650634766,0.0,0,30.605712890625,14.00967025756836,0,0,0,0,0,0,0.0,0,0,7.3290181159973145,0,0.0,0,0,0,0,0,0,0,14.883750915527344,3.172081232070923,8.382150650024414,10.82802677154541,3.0126793384552,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.800922393798828,0,0.0,8.310169219970703,0,0,0,0,21.421245574951172,7.052293300628662,0,0,5.063172817230225,0,66.11211395263672,0.0,46.859642028808594,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,26.452232360839844,0,0,0,0,0,0,0,0.0,0,0,44.151302337646484,0.0,0.0,0.0,0,0,0,2.384293794631958,0,0,0,0,0.23708373308181763,0.0,37.98611831665039,39.16365432739258,13.648180961608887,0.0,2.6821224689483643,0.0,0,22.12887954711914,0.0,0.0,19.955970764160156,0.0,0.0,0.0,14.228933334350586,0.0,0.0,0.0,11.551833152770996,0.0,0.0,20.13741683959961,0.0,0.0,0.0,11.001164436340332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.041306495666504,0.0,7.140893459320068,0.0,8.211304664611816,5.971970081329346,0.0,37.9388313293457,37.359466552734375,0.0,36.846214294433594,0.0,31.185033798217773
TEST_01+2일,5.81261682510376,4.659812927246094,10.262018203735352,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.12729084491729736,20.171297073364258,0,0.1366358995437622,0,0,8.01742935180664,0.0,0,0,0,19.372482299804688,28.62520408630371,3.71380615234375,30.531063079833984,0.0,1.1357237100601196,0.0,0,0,0,0,0.0,40.22653579711914,0.0,0,30.212081909179688,14.605979919433594,0,0,0,0,0,0,0.0,0,0,8.313660621643066,0,0.0,0,0,0,0,0,0,0,15.429088592529297,4.394504547119141,9.306102752685547,11.610152244567871,4.243932723999023,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,27.57846450805664,0,0.0,9.238411903381348,0,0,0,0,21.58104133605957,8.052810668945312,0,0,6.17792272567749,0,63.50312042236328,0.0,45.46274185180664,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,26.30770492553711,0,0,0,0,0,0,0,0.0,0,0,42.92461013793945,0.0,0.0,0.0,0,0,0,3.6515092849731445,0,0,0,0,1.6255637407302856,0.0,37.14120101928711,38.247440338134766,14.266031265258789,0.0,3.9325504302978516,0.0,0,22.246089935302734,0.0,0.0,20.202327728271484,1.1065646409988403,0.0,0.0,14.812785148620605,0.0,0.0,0.0,12.291558265686035,0.0,0.0,20.373096466064453,0.0,0.0,0.0,11.773130416870117,0.0,0.0,0.6273161172866821,0.0,0.0,0.0,0.0,0.0,5.214635848999023,0.6719480752944946,8.136178970336914,0.0,9.14494514465332,7.03433895111084,0.0,37.095977783203125,36.55235290527344,0.0,36.070526123046875,1.124653935432434,30.75664520263672
TEST_01+3일,5.774734973907471,4.656991481781006,10.091824531555176,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.2569430470466614,19.702444076538086,0,0.26600390672683716,0,0,7.915268421173096,0.0,0,0,0,18.92936134338379,27.89803123474121,3.7387516498565674,29.74432945251465,0.0,1.2349398136138916,0.0,0,0,0,0,0.0,39.127750396728516,0.0,0,29.43195915222168,14.305567741394043,0,0,0,0,0,0,0.0,0,0,8.20180606842041,0,0.0,0,0,0,0,0,0,0,15.104048728942871,4.398349761962891,9.164839744567871,11.39985466003418,4.252565860748291,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26.88361930847168,0,0.0,9.098921775817871,0,0,0,0,21.06926155090332,7.948968887329102,0,0,6.129326820373535,0,61.64954376220703,0.0,44.19567108154297,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,25.650278091430664,0,0,0,0,0,0,0,0.0,0,0,41.74232482910156,0.0,0.0,0.0,0,0,0,3.6779119968414307,0,0,0,0,1.711364984512329,0.0,36.144256591796875,37.21593475341797,13.975826263427734,0.0,3.950068712234497,0.0,0,21.71364974975586,0.0,0.0,19.73247718811035,1.2074034214019775,0.0,0.0,14.50624942779541,0.0,0.0,0.0,12.060582160949707,0.0,0.0,19.897829055786133,0.0,0.0,0.0,11.557917594909668,0.0,0.0,0.7424405217170715,0.0,0.0,0.0,0.0,0.0,5.19406270980835,0.7846572995185852,8.029467582702637,0.0,9.008347511291504,6.960228443145752,0.0,36.09781265258789,35.57148742675781,0.0,35.104698181152344,1.2248718738555908,29.959714889526367
