영업일자,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_BBQ55(단체),"느티나무 셀프BBQ_대여료 30,000원","느티나무 셀프BBQ_대여료 60,000원","느티나무 셀프BBQ_대여료 90,000원","느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_햇반,느티나무 셀프BBQ_허브솔트,담하_(단체) 공깃밥,담하_(단체) 생목살 김치전골 2.0,담하_(단체) 은이버섯 갈비탕,담하_(단체) 한우 우거지 국밥,담하_(단체) 황태해장국 3/27까지,담하_(정식) 된장찌개,담하_(정식) 물냉면 ,담하_(정식) 비빔냉면,담하_(후식) 된장찌개,담하_(후식) 물냉면,담하_(후식) 비빔냉면,담하_갑오징어 비빔밥,담하_갱시기,담하_공깃밥,담하_꼬막 비빔밥,담하_느린마을 막걸리,담하_담하 한우 불고기,담하_담하 한우 불고기 정식,담하_더덕 한우 지짐,담하_들깨 양지탕,담하_라면사리,담하_룸 이용료,담하_메밀면 사리,담하_명인안동소주,담하_명태회 비빔냉면,담하_문막 복분자 칵테일,담하_봉평메밀 물냉면,담하_생목살 김치찌개,담하_스프라이트,담하_은이버섯 갈비탕,담하_제로콜라,담하_참이슬,담하_처음처럼,담하_카스,담하_콜라,담하_테라,담하_하동 매실 칵테일,담하_한우 떡갈비 정식,담하_한우 미역국 정식,담하_한우 우거지 국밥,담하_한우 차돌박이 된장찌개,담하_황태해장국,라그로타_AUS (200g),라그로타_G-Charge(3),라그로타_Gls.Sileni,라그로타_Gls.미션 서드,라그로타_Open Food,라그로타_그릴드 비프 샐러드,라그로타_까르보나라,라그로타_모둠 해산물 플래터,라그로타_미션 서드 카베르네 쉬라,라그로타_버섯 크림 리조또,라그로타_빵 추가 (1인),라그로타_스프라이트,라그로타_시저 샐러드 ,라그로타_아메리카노,라그로타_알리오 에 올리오 ,라그로타_양갈비 (4ps),라그로타_자몽리치에이드,라그로타_제로콜라,라그로타_카스,라그로타_콜라,라그로타_하이네켄(생),라그로타_한우 (200g),라그로타_해산물 토마토 리조또,라그로타_해산물 토마토 스튜 파스타,라그로타_해산물 토마토 스파게티,"미라시아_(단체)브런치주중 36,000",미라시아_(오븐) 하와이안 쉬림프 피자,미라시아_(화덕) 불고기 페퍼로니 반반피자,미라시아_BBQ Platter,미라시아_BBQ 고기추가,미라시아_공깃밥,미라시아_글라스와인 (레드),미라시아_레인보우칵테일(알코올),미라시아_미라시아 브런치 (패키지),미라시아_버드와이저(무제한),미라시아_보일링 랍스타 플래터,미라시아_보일링 랍스타 플래터(덜매운맛),미라시아_브런치 2인 패키지 ,미라시아_브런치 4인 패키지 ,미라시아_브런치(대인) 주말,미라시아_브런치(대인) 주중,미라시아_브런치(어린이),미라시아_쉬림프 투움바 파스타,미라시아_스텔라(무제한),미라시아_스프라이트,미라시아_애플망고 에이드,미라시아_얼그레이 하이볼,미라시아_오븐구이 윙과 킬바사소세지,미라시아_유자 하이볼,미라시아_잭 애플 토닉,미라시아_칠리 치즈 프라이,미라시아_코카콜라,미라시아_코카콜라(제로),미라시아_콥 샐러드,미라시아_파스타면 추가(150g),미라시아_핑크레몬에이드,연회장_Cass Beer,연회장_Conference L1,연회장_Conference L2,연회장_Conference L3,연회장_Conference M1,연회장_Conference M8,연회장_Conference M9,연회장_Convention Hall,연회장_Cookie Platter,연회장_Grand Ballroom,연회장_OPUS 2,연회장_Regular Coffee,연회장_골뱅이무침,연회장_공깃밥,연회장_돈목살 김치찌개 (밥포함),연회장_로제 치즈떡볶이,연회장_마라샹궈,연회장_매콤 무뼈닭발&계란찜,연회장_모둠 돈육구이(3인),연회장_삼겹살추가 (200g),연회장_야채추가,연회장_왕갈비치킨,연회장_주먹밥 (2ea),카페테리아_공깃밥(추가),카페테리아_구슬아이스크림,카페테리아_단체식 13000(신),카페테리아_단체식 18000(신),카페테리아_돼지고기 김치찌개,카페테리아_복숭아 아이스티,카페테리아_새우 볶음밥,카페테리아_새우튀김 우동,카페테리아_샷 추가,카페테리아_수제 등심 돈까스,카페테리아_아메리카노(HOT),카페테리아_아메리카노(ICE),카페테리아_약 고추장 돌솥비빔밥,카페테리아_어린이 돈까스,카페테리아_오픈푸드,카페테리아_진사골 설렁탕,카페테리아_짜장면,카페테리아_짜장밥,카페테리아_짬뽕,카페테리아_짬뽕밥,카페테리아_치즈돈까스,카페테리아_카페라떼(HOT),카페테리아_카페라떼(ICE),카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,포레스트릿_꼬치어묵,포레스트릿_떡볶이,포레스트릿_복숭아 아이스티,포레스트릿_생수,포레스트릿_스프라이트,포레스트릿_아메리카노(HOT),포레스트릿_아메리카노(ICE),포레스트릿_치즈 핫도그,포레스트릿_카페라떼(HOT),포레스트릿_카페라떼(ICE),포레스트릿_코카콜라,포레스트릿_페스츄리 소시지,화담숲주막_느린마을 막걸리,화담숲주막_단호박 식혜 ,화담숲주막_병천순대,화담숲주막_스프라이트,화담숲주막_참살이 막걸리,화담숲주막_찹쌀식혜,화담숲주막_콜라,화담숲주막_해물파전,화담숲카페_메밀미숫가루,화담숲카페_아메리카노 HOT,화담숲카페_아메리카노 ICE,화담숲카페_카페라떼 ICE,화담숲카페_현미뻥스크림
TEST_00+1일,0.0,20.87015151977539,0.0,0,0,0,8.94018840789795,0,0.0,0,0,0,0,0,23.69699478149414,0,16.45278549194336,0,0,19.31106185913086,8.353100776672363,0,0,0,36.72861862182617,13.018269538879395,0.0,22.80632781982422,0.0,0.0,0.0,0.0,0,0,0,0,21.18097496032715,0.0,0,10.10993766784668,2.938508987426758,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,18.844064712524414,0,0,0.0,0,0,0,0,4.763659477233887,0.0,0,0,0.0,0,81.1318588256836,17.729816436767578,22.46550178527832,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,17.111778259277344,0,0,0,0,0,0,0,0,0,0,23.209346771240234,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,100.02596282958984,26.360450744628906,0.0,0.0,0.0,0.0,0,2.644505023956299,0.0,0.0,10.394464492797852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.516457557678223,0.0,9.703070640563965,0.0,8.284308433532715,2.367847442626953,0.0,61.8825798034668,45.211734771728516,0.0,49.231204986572266,0.0,27.623111724853516
TEST_00+2일,0.0,20.110361099243164,0.0,0,0,0,8.944089889526367,0,0.0,0,0,0,0,0,22.77758026123047,0,15.97441291809082,0,0,18.651948928833008,8.394548416137695,0,0,0,34.96208953857422,12.758500099182129,0.0,21.92017364501953,0.0,0.0,0.0,0.0,0,0,0,0,20.418399810791016,0.0,0,10.042055130004883,3.3237414360046387,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.3036584258079529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,18.209095001220703,0,0,0.0,0,0,0,0,5.036121845245361,0.0,0,0,0.0,0,76.34068298339844,17.173768997192383,21.620832443237305,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,16.587120056152344,0,0,0,0,0,0,0,0,0,0,22.31037712097168,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,93.91090393066406,25.251235961914062,0.0,0.0,0.0,0.0,0,3.053218364715576,0.0,0.0,10.323103904724121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50103759765625,0.0,9.661550521850586,0.0,8.335820198059082,2.7974276542663574,0.0,58.433685302734375,42.87961196899414,0.0,46.62678909301758,0.0,26.44636344909668
TEST_00+3일,0.16060668230056763,19.998048782348633,0.0,0,0,0,9.185220718383789,0,0.0,0,0,0,0,0,22.587936401367188,0,15.992301940917969,0,0,18.585756301879883,8.652902603149414,0,0,0,34.37981414794922,12.877638816833496,0.0,21.750289916992188,0.0,0.0,0.0,0.0,0,0,0,0,20.30194091796875,0.0,0,10.248905181884766,3.740957498550415,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.8147929310798645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,18.154680252075195,0,0,0.0,0,0,0,0,5.400880336761475,0.0,0,0,0.0,0,74.377685546875,17.154653549194336,21.46611785888672,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,16.58457374572754,0,0,0,0,0,0,0,0,0,0,22.133737564086914,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,91.34706115722656,24.978221893310547,0.0,0.0,0.0,0.0,0,3.480635404586792,0.0,0.0,10.527311325073242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.730752944946289,0.0,9.880802154541016,0.0,8.597861289978027,3.233990430831909,0.0,57.07997512817383,42.03893280029297,0.0,45.661964416503906,0.0,26.138568878173828
TEST_00+4일,0.0,19.049720764160156,0.0,0,0,0,8.542486190795898,0,0.0,0,0,0,0,0,21.566696166992188,0,15.15673828125,0,0,17.676942825317383,8.025352478027344,0,0,0,33.031986236572266,12.130434036254883,0.0,20.75357437133789,0.0,0.0,0.0,0.0,0,0,0,0,19.3441104888916,0.0,0,9.575815200805664,3.253650665283203,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.4111180305480957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,17.257787704467773,0,0,0.0,0,0,0,0,4.8660407066345215,0.0,0,0,0.0,0,71.95331573486328,16.286455154418945,20.475948333740234,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,15.733003616333008,0,0,0,0,0,0,0,0,0,0,21.12643814086914,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,88.47798919677734,23.891149520874023,0.0,0.0,0.0,0.0,0,3.0006747245788574,0.0,0.0,9.844951629638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.071405410766602,0.0,9.218135833740234,0.0,7.971931457519531,2.7609000205993652,0.0,55.116119384765625,40.482059478759766,0.0,44.006473541259766,0.0,25.018281936645508
TEST_00+5일,0.2730253338813782,19.64588165283203,0.0,0,0,0,9.089980125427246,0,0.0,0,0,0,0,0,22.157821655273438,0,15.737305641174316,0,0,18.266799926757812,8.570310592651367,0,0,0,33.67206954956055,12.698418617248535,0.0,21.35931396484375,0.0,0.0,0.0,0.0,0,0,0,0,19.92911148071289,0.0,0,10.127203941345215,3.7755167484283447,0,0,0,0,0,0,0,0,0.0,0.10524636507034302,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.9190271496772766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,17.850210189819336,0,0,0.0,0,0,0,0,5.393763065338135,0.0,0,0,0.0,0,72.81658935546875,16.870067596435547,21.065959930419922,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,16.31961441040039,0,0,0,0,0,0,0,0,0,0,21.723711013793945,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,89.44755554199219,24.50496482849121,0.0,0.0,0.0,0.0,0,3.5178987979888916,0.0,0.0,10.38495922088623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.608428955078125,0.0,9.76708984375,0.0,8.513221740722656,3.2744457721710205,0.0,55.866146087646484,41.1614875793457,0.0,44.7069091796875,0.0,25.626771926879883
TEST_00+6일,0.0,19.1507568359375,0.0,0,0,0,8.492844581604004,0,0.0,0,0,0,0,0,21.675172805786133,0,15.20521354675293,0,0,17.757915496826172,7.968146800994873,0,0,0,33.30420684814453,12.137646675109863,0.0,20.882583618164062,0.0,0.0,0.0,0.0,0,0,0,0,19.427371978759766,0.0,0,9.53834342956543,3.1285500526428223,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.24601608514785767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,17.340085983276367,0,0,0.0,0,0,0,0,4.760250568389893,0.0,0,0,0.0,0,72.9072494506836,16.34695053100586,20.575191497802734,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,15.795494079589844,0,0,0,0,0,0,0,0,0,0,21.24322509765625,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,89.75151062011719,24.056087493896484,0.0,0.0,0.0,0.0,0,2.8659892082214355,0.0,0.0,9.79067611694336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.006808280944824,0.0,9.174633026123047,0.0,7.907481670379639,2.6185355186462402,0.0,55.74030303955078,40.874839782714844,0.0,44.46207809448242,0.0,25.18064308166504
TEST_00+7일,0.04977935552597046,20.1644344329834,0.0,0,0,0,9.207225799560547,0,0.0,0,0,0,0,0,22.754423141479492,0,16.108747482299805,0,0,18.732900619506836,8.667640686035156,0,0,0,34.7056770324707,12.954401969909668,0.0,21.94158172607422,0.0,0.0,0.0,0.0,0,0,0,0,20.44548988342285,0.0,0,10.281262397766113,3.6905570030212402,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.7263492941856384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,18.305036544799805,0,0,0.0,0,0,0,0,5.368076801300049,0.0,0,0,0.0,0,75.36534118652344,17.280458450317383,21.624797821044922,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,16.7142276763916,0,0,0,0,0,0,0,0,0,0,22.309511184692383,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,92.64376831054688,25.202800750732422,0.0,0.0,0.0,0.0,0,3.419675350189209,0.0,0.0,10.540535926818848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.734270095825195,0.0,9.907666206359863,0.0,8.603294372558594,3.1650781631469727,0.0,57.740638732910156,42.48127365112305,0.0,46.166378021240234,0.0,26.357582092285156
TEST_01+1일,0.0,2.237306594848633,0.4008585214614868,0,0,0,0.0,0,0.0,0,0,0,0,0,7.84164571762085,0,0.0,0,0,2.659271717071533,0.0,0,0,0,8.416841506958008,12.601792335510254,0.0,15.264880180358887,0.0,0.0,0.0,0.0,0,0,0,0,37.19574737548828,0.0,0,24.190994262695312,7.097196102142334,0,0,0,0,0,0,0,0,1.5759578943252563,7.539467811584473,0,0.0,0,0,0,0,0,0,0,8.068219184875488,2.544893264770508,3.8893561363220215,3.3285608291625977,0.3215576410293579,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,13.256318092346191,0,0,4.35763692855835,0,0,0,0,16.330564498901367,7.616912364959717,0,0,6.436234951019287,0,53.62751770019531,0.0,29.186046600341797,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,15.428572654724121,0,0,0,0,0,0,0,0,0,0,22.275054931640625,0,0,0,0,0,0,4.283029079437256,0,0,0,0,0.0,0.0,18.12840461730957,19.354209899902344,4.207335948944092,0.0,0.0,0.0,0,12.018675804138184,0.0,0.0,12.102448463439941,0.0,0.0,0.0,7.177783489227295,0.0,0.0,0.0,3.8222556114196777,0.0,0.0,7.0703511238098145,0.0,0.0,0.0,6.474510669708252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3331613540649414,0.0,4.929969310760498,0.0,0.0,3.3325414657592773,0.0,17.807777404785156,22.52178382873535,0.0,22.098129272460938,0.0,10.761628150939941
TEST_01+2일,0.0,2.665144920349121,0.9514397978782654,0,0,0,0.0,0,0.0,0,0,0,0,0,7.918433666229248,0,0.0,0,0,3.066683292388916,0.0,0,0,0,8.45942211151123,12.366888046264648,0.0,14.869606971740723,0.0,0.0,0.0,0.0,0,0,0,0,35.39301300048828,0.0,0,23.2413387298584,7.221011161804199,0,0,0,0,0,0,0,0,2.0473523139953613,7.63157320022583,0,0.0,0,0,0,0,0,0,0,8.126899719238281,2.954357147216797,4.216768741607666,3.691287040710449,0.8758172392845154,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,12.98229694366455,0,0,4.653714179992676,0,0,0,0,15.86469841003418,7.7018723487854,0,0,6.59553337097168,0,50.724308013916016,0.0,27.903963088989258,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,15.024017333984375,0,0,0,0,0,0,0,0,0,0,21.420053482055664,0,0,0,0,0,0,4.580156326293945,0,0,0,0,0.0,0.0,17.54350471496582,18.685636520385742,4.514865398406982,0.0,0.0,0.0,0,11.827536582946777,0.0,0.0,11.906950950622559,0.01571410894393921,0.0,0.0,7.294500827789307,0.0,0.0,0.0,4.153086185455322,0.0,0.0,7.194962978363037,0.0,0.0,0.0,6.633032321929932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.756655693054199,0.0,5.188366889953613,0.0,0.0,3.691889762878418,0.0,17.25592613220215,21.68160057067871,0.0,21.28338623046875,0.0,10.656973838806152
TEST_01+3일,0.019787609577178955,3.1022417545318604,1.4441783428192139,0,0,0,0.0,0,0.0,0,0,0,0,0,8.192742347717285,0,0.0,0,0,3.4935691356658936,0.0,0,0,0,8.717123031616211,12.498478889465332,0.0,14.926036834716797,0.0,0.0,0.0,0.0,0,0,0,0,34.79716110229492,0.0,0,23.03740119934082,7.5171308517456055,0,0,0,0,0,0,0,0,2.504314661026001,7.913397789001465,0,0.0,0,0,0,0,0,0,0,8.393245697021484,3.3828861713409424,4.606987953186035,4.097799777984619,1.370420217514038,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,13.09482479095459,0,0,5.029680252075195,0,0,0,0,15.887309074401855,7.9807538986206055,0,0,6.908964157104492,0,49.6208610534668,0.0,27.548070907592773,0.035479843616485596,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,15.075578689575195,0,0,0,0,0,0,0,0,0,0,21.264175415039062,0,0,0,0,0,0,4.957156658172607,0,0,0,0,0.0,0.0,17.512210845947266,18.616514205932617,4.895819664001465,0.0,0.0,0.0,0,11.977622985839844,0.0,0.0,12.054819107055664,0.5366032719612122,0.0,0.0,7.587491989135742,0.0,0.0,0.0,4.544997692108154,0.0,0.0,7.4915618896484375,0.0,0.0,0.0,6.945840835571289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1915524005889893,0.0,5.547103404998779,0.0,0.3828309178352356,4.0973005294799805,0.0,17.237239837646484,21.527917861938477,0.0,21.141822814941406,0.0,10.846046447753906
