영업일자,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_BBQ55(단체),"느티나무 셀프BBQ_대여료 30,000원","느티나무 셀프BBQ_대여료 60,000원","느티나무 셀프BBQ_대여료 90,000원","느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_햇반,느티나무 셀프BBQ_허브솔트,담하_(단체) 공깃밥,담하_(단체) 생목살 김치전골 2.0,담하_(단체) 은이버섯 갈비탕,담하_(단체) 한우 우거지 국밥,담하_(단체) 황태해장국 3/27까지,담하_(정식) 된장찌개,담하_(정식) 물냉면 ,담하_(정식) 비빔냉면,담하_(후식) 된장찌개,담하_(후식) 물냉면,담하_(후식) 비빔냉면,담하_갑오징어 비빔밥,담하_갱시기,담하_공깃밥,담하_꼬막 비빔밥,담하_느린마을 막걸리,담하_담하 한우 불고기,담하_담하 한우 불고기 정식,담하_더덕 한우 지짐,담하_들깨 양지탕,담하_라면사리,담하_룸 이용료,담하_메밀면 사리,담하_명인안동소주,담하_명태회 비빔냉면,담하_문막 복분자 칵테일,담하_봉평메밀 물냉면,담하_생목살 김치찌개,담하_스프라이트,담하_은이버섯 갈비탕,담하_제로콜라,담하_참이슬,담하_처음처럼,담하_카스,담하_콜라,담하_테라,담하_하동 매실 칵테일,담하_한우 떡갈비 정식,담하_한우 미역국 정식,담하_한우 우거지 국밥,담하_한우 차돌박이 된장찌개,담하_황태해장국,라그로타_AUS (200g),라그로타_G-Charge(3),라그로타_Gls.Sileni,라그로타_Gls.미션 서드,라그로타_Open Food,라그로타_그릴드 비프 샐러드,라그로타_까르보나라,라그로타_모둠 해산물 플래터,라그로타_미션 서드 카베르네 쉬라,라그로타_버섯 크림 리조또,라그로타_빵 추가 (1인),라그로타_스프라이트,라그로타_시저 샐러드 ,라그로타_아메리카노,라그로타_알리오 에 올리오 ,라그로타_양갈비 (4ps),라그로타_자몽리치에이드,라그로타_제로콜라,라그로타_카스,라그로타_콜라,라그로타_하이네켄(생),라그로타_한우 (200g),라그로타_해산물 토마토 리조또,라그로타_해산물 토마토 스튜 파스타,라그로타_해산물 토마토 스파게티,"미라시아_(단체)브런치주중 36,000",미라시아_(오븐) 하와이안 쉬림프 피자,미라시아_(화덕) 불고기 페퍼로니 반반피자,미라시아_BBQ Platter,미라시아_BBQ 고기추가,미라시아_공깃밥,미라시아_글라스와인 (레드),미라시아_레인보우칵테일(알코올),미라시아_미라시아 브런치 (패키지),미라시아_버드와이저(무제한),미라시아_보일링 랍스타 플래터,미라시아_보일링 랍스타 플래터(덜매운맛),미라시아_브런치 2인 패키지 ,미라시아_브런치 4인 패키지 ,미라시아_브런치(대인) 주말,미라시아_브런치(대인) 주중,미라시아_브런치(어린이),미라시아_쉬림프 투움바 파스타,미라시아_스텔라(무제한),미라시아_스프라이트,미라시아_애플망고 에이드,미라시아_얼그레이 하이볼,미라시아_오븐구이 윙과 킬바사소세지,미라시아_유자 하이볼,미라시아_잭 애플 토닉,미라시아_칠리 치즈 프라이,미라시아_코카콜라,미라시아_코카콜라(제로),미라시아_콥 샐러드,미라시아_파스타면 추가(150g),미라시아_핑크레몬에이드,연회장_Cass Beer,연회장_Conference L1,연회장_Conference L2,연회장_Conference L3,연회장_Conference M1,연회장_Conference M8,연회장_Conference M9,연회장_Convention Hall,연회장_Cookie Platter,연회장_Grand Ballroom,연회장_OPUS 2,연회장_Regular Coffee,연회장_골뱅이무침,연회장_공깃밥,연회장_돈목살 김치찌개 (밥포함),연회장_로제 치즈떡볶이,연회장_마라샹궈,연회장_매콤 무뼈닭발&계란찜,연회장_모둠 돈육구이(3인),연회장_삼겹살추가 (200g),연회장_야채추가,연회장_왕갈비치킨,연회장_주먹밥 (2ea),카페테리아_공깃밥(추가),카페테리아_구슬아이스크림,카페테리아_단체식 13000(신),카페테리아_단체식 18000(신),카페테리아_돼지고기 김치찌개,카페테리아_복숭아 아이스티,카페테리아_새우 볶음밥,카페테리아_새우튀김 우동,카페테리아_샷 추가,카페테리아_수제 등심 돈까스,카페테리아_아메리카노(HOT),카페테리아_아메리카노(ICE),카페테리아_약 고추장 돌솥비빔밥,카페테리아_어린이 돈까스,카페테리아_오픈푸드,카페테리아_진사골 설렁탕,카페테리아_짜장면,카페테리아_짜장밥,카페테리아_짬뽕,카페테리아_짬뽕밥,카페테리아_치즈돈까스,카페테리아_카페라떼(HOT),카페테리아_카페라떼(ICE),카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,포레스트릿_꼬치어묵,포레스트릿_떡볶이,포레스트릿_복숭아 아이스티,포레스트릿_생수,포레스트릿_스프라이트,포레스트릿_아메리카노(HOT),포레스트릿_아메리카노(ICE),포레스트릿_치즈 핫도그,포레스트릿_카페라떼(HOT),포레스트릿_카페라떼(ICE),포레스트릿_코카콜라,포레스트릿_페스츄리 소시지,화담숲주막_느린마을 막걸리,화담숲주막_단호박 식혜 ,화담숲주막_병천순대,화담숲주막_스프라이트,화담숲주막_참살이 막걸리,화담숲주막_찹쌀식혜,화담숲주막_콜라,화담숲주막_해물파전,화담숲카페_메밀미숫가루,화담숲카페_아메리카노 HOT,화담숲카페_아메리카노 ICE,화담숲카페_카페라떼 ICE,화담숲카페_현미뻥스크림
TEST_00+1일,3.722346305847168,26.87840461730957,0.0,0,0,0,16.556459426879883,0,0.0,0,0,0,0,0.0,21.7109375,0,16.963335037231445,0,0,18.899850845336914,15.602012634277344,0,0,0,45.37298583984375,18.38791275024414,0.21638119220733643,31.277252197265625,0.0,0.0,0.0,0,0,0,0,0,23.52300262451172,0.0,0,20.076982498168945,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,13.012913703918457,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,26.895267486572266,0,0,0.0,0,0,0,0,6.170188903808594,0.0,0,0,0.0,0,78.18763732910156,17.398046493530273,23.042186737060547,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,25.03973388671875,0,0,0,0,0,0,0,0.0,0,0,32.950923919677734,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,92.94914245605469,33.34442901611328,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.211898803710938,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24375641345977783,0.0,0.0,0,0.0,0.0,9.053483963012695,0.0,11.040544509887695,0.0,9.957038879394531,8.135343551635742,0.0,57.56059646606445,43.43372344970703,0.0,42.836849212646484,0.0,21.498844146728516
TEST_00+2일,4.047788143157959,25.978307723999023,0.0,0,0,0,16.22168731689453,0,0.0,0,0,0,0,0.0,21.08650016784668,0,16.600627899169922,0,0,18.437049865722656,15.318029403686523,0,0,0,43.39427185058594,17.956029891967773,0.7133820652961731,30.129528045654297,0.0,0.0,0.0,0,0,0,0,0,22.802846908569336,0.0,0,19.547956466674805,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,12.867562294006348,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,25.996431350708008,0,0,0.0,0,0,0,0,6.3733038902282715,0.0,0,0,0.0,0,74.1955795288086,17.00861930847168,22.346223831176758,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,24.244321823120117,0,0,0,0,0,0,0,0.0,0,0,31.70863151550293,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,88.03538513183594,32.073787689208984,0.0,0.0,0.0,0.0,0,0.4327910542488098,0.0,0.0,14.940293312072754,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.739302933216095,0.0,0.0,0,0.0,0.0,9.109749794006348,0.33453303575515747,10.994805335998535,0.0,9.967437744140625,8.238887786865234,0.0,54.83217239379883,41.55744171142578,0.0,41.00162887573242,0.30546122789382935,20.887962341308594
TEST_00+3일,3.9320502281188965,25.05230712890625,0.0,0,0,0,15.660210609436035,0,0.0,0,0,0,0,0.0,20.342477798461914,0,16.02398109436035,0,0,17.79288673400879,14.78991985321045,0,0,0,41.80590057373047,17.33038902282715,0.7169504761695862,29.047256469726562,0.0,0.0,0.0,0,0,0,0,0,21.995140075683594,0.0,0,18.86227798461914,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,12.43021297454834,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,25.070186614990234,0,0,0.0,0,0,0,0,6.173355579376221,0.0,0,0,0.0,0,71.41812896728516,16.4162540435791,21.555233001708984,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.38387107849121,0,0,0,0,0,0,0,0.0,0,0,30.566761016845703,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,84.71965789794922,30.91714859008789,0.0,0.0,0.0,0.0,0,0.446846067905426,0.0,0.0,14.425080299377441,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7421694397926331,0.0,0.0,0,0.0,0.0,8.810429573059082,0.3519144654273987,10.626336097717285,0.0,9.636677742004395,7.971238136291504,0.0,52.80278396606445,40.0377082824707,0.0,39.50395965576172,0.323982298374176,20.151599884033203
TEST_00+4일,4.508739471435547,25.20486068725586,0.0,0,0,0,16.00151824951172,0,0.0,0,0,0,0,0.0,20.589641571044922,0,16.358060836791992,0,0,18.091541290283203,15.148794174194336,0,0,0,41.61909103393555,17.6383056640625,1.3586351871490479,29.1189022064209,0.0,0.0,0.0,0,0,0,0,0,22.209108352661133,0.0,0,19.13925552368164,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,12.8363037109375,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,25.222408294677734,0,0,0.0,0,0,0,0,6.705083847045898,0.0,0,0,0.0,0,70.62300872802734,16.74254608154297,21.778076171875,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.57011604309082,0,0,0,0,0,0,0,0.0,0,0,30.60759925842285,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,83.6492691040039,30.950939178466797,0.0,0.0,0.0,0.0,0,1.0935819149017334,0.0,0.0,14.791094779968262,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3832252025604248,0.0,0.0,0,0.0,0.0,9.288987159729004,1.0007483959197998,11.06847858428955,0.0,10.098716735839844,8.46677017211914,0.0,52.390342712402344,39.886253356933594,0.0,39.36349868774414,0.9733068346977234,20.402690887451172
TEST_00+5일,4.204835414886475,24.819129943847656,0.0,0,0,0,15.639638900756836,0,0.0,0,0,0,0,0.0,20.218935012817383,0,15.997845649719238,0,0,17.72355842590332,14.790143013000488,0,0,0,41.23352813720703,17.270414352416992,1.078259825706482,28.727663040161133,0.0,0.0,0.0,0,0,0,0,0,21.832477569580078,0.0,0,18.769407272338867,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,12.486579895019531,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,24.83544921875,0,0,0.0,0,0,0,0,6.387258052825928,0.0,0,0,0.0,0,70.30883026123047,16.38264274597168,21.403589248657227,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.186199188232422,0,0,0,0,0,0,0,0.0,0,0,30.214771270751953,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,83.38092041015625,30.560867309570312,0.0,0.0,0.0,0.0,0,0.8142493963241577,0.0,0.0,14.43753719329834,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1021713018417358,0.0,0.0,0,0.0,0.0,8.956093788146973,0.7224863767623901,10.726901054382324,0.0,9.7616548538208,8.138509750366211,0.0,52.0300178527832,39.50593566894531,0.0,38.97963333129883,0.6950763463973999,20.031394958496094
TEST_00+6일,3.9810187816619873,24.732162475585938,0.0,0,0,0,15.479162216186523,0,0.0,0,0,0,0,0.0,20.099334716796875,0,15.843612670898438,0,0,17.57946014404297,14.62386703491211,0,0,0,41.31877517700195,17.121015548706055,0.8435381054878235,28.67633819580078,0.0,0.0,0.0,0,0,0,0,0,21.723718643188477,0.0,0,18.634685516357422,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,12.304239273071289,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,24.747257232666016,0,0,0.0,0,0,0,0,6.172817707061768,0.0,0,0,0.0,0,70.75982666015625,16.233171463012695,21.292701721191406,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.08363914489746,0,0,0,0,0,0,0,0.0,0,0,30.177263259887695,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,84.0074234008789,30.530197143554688,0.0,0.0,0.0,0.0,0,0.5786617398262024,0.0,0.0,14.273752212524414,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8674142956733704,0.0,0.0,0,0.0,0.0,8.754666328430176,0.4866240620613098,10.535331726074219,0.0,9.56441593170166,7.932598114013672,0.0,52.25129318237305,39.579063415527344,0.0,39.04356002807617,0.45907145738601685,19.90912628173828
TEST_00+7일,3.781928777694702,24.80451774597168,0.0,0,0,0,15.433283805847168,0,0.0,0,0,0,0,0.0,20.11237335205078,0,15.802369117736816,0,0,17.560646057128906,14.566864967346191,0,0,0,41.59615707397461,17.09600830078125,0.600600004196167,28.798452377319336,0.0,0.0,0.0,0,0,0,0,0,21.757715225219727,0.0,0,18.62911605834961,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,12.216931343078613,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,24.819780349731445,0,0,0.0,0,0,0,0,6.0037946701049805,0.0,0,0,0.0,0,71.38700866699219,16.196735382080078,21.32111358642578,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23.135087966918945,0,0,0,0,0,0,0,0.0,0,0,30.3182430267334,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,84.78739929199219,30.675397872924805,0.0,0.0,0.0,0.0,0,0.3325169086456299,0.0,0.0,14.212080001831055,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6250054836273193,0.0,0.0,0,0.0,0.0,8.620894432067871,0.2389671802520752,10.42515754699707,0.0,9.441405296325684,7.787588119506836,0.0,52.66097640991211,39.83554458618164,0.0,39.29347229003906,0.21106696128845215,19.91981315612793
TEST_01+1일,0.34614479541778564,1.8704129457473755,0.7226773500442505,0,0,0,0.0,0,0.0,0,0,0,0,0.0,10.027131080627441,0,3.559506416320801,0,0,9.701826095581055,0.0,0,0,0,16.40498924255371,21.899608612060547,6.065099239349365,23.740428924560547,0.0,0.0,0.0,0,0,0,0,0,39.30078125,0.0,0,21.984169006347656,4.608011245727539,0,0,0.0,0,0,0,0.0,0,0.0,3.159295082092285,0,0.0,0,0,0,0,0,0,0,4.057864665985107,0.0,1.3086234331130981,2.9708547592163086,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,20.510839462280273,0,0,2.4788942337036133,0,0,0,0,19.886871337890625,0.0,0,0,0.027820706367492676,0,58.14091491699219,0.0,34.283878326416016,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28.600994110107422,0,0,0,0,0,0,0,0.0,0,0,28.230337142944336,0,0,0,0,0,0,0.6507512331008911,0,0,0,0,0.0,0.0,25.759845733642578,25.108139038085938,3.2896480560302734,0.0,1.27601158618927,0.0,0,11.259878158569336,0.0,0.0,12.468223571777344,0.0,0.0,0.0,6.35058069229126,0,0.0,0.0,1.0974875688552856,0.0,0.0,4.321138858795166,0.0,0.0,0.0,2.5741806030273438,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.26002705097198486,0.0,1.158040165901184,0.0,0.28553879261016846,0.0,0.0,31.795726776123047,31.12135124206543,0.0,31.88742446899414,0.0,19.34270477294922
TEST_01+2일,0.8350861668586731,2.2857754230499268,1.1929867267608643,0,0,0,0.0,0,0.0,0,0,0,0,0.4887850880622864,10.030905723571777,0,3.892343759536743,0,0,9.725769996643066,0.0,0,0,0,16.078657150268555,21.27510643005371,6.273339748382568,23.014080047607422,0.0,0.0,0.0,0,0,0,0,0,37.65463638305664,0.0,0,21.33376121520996,4.886801242828369,0,0,0.0,0,0,0,0.0,0,0.27099543809890747,3.5103437900543213,0,0.0,0,0,0,0,0,0,0,4.3643574714660645,0.0,1.7500364780426025,3.3313639163970947,0.08068209886550903,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,19.961885452270508,0,0,2.8633997440338135,0,0,0,0,19.35734748840332,0.0,0,0,0.5312121510505676,0,55.39369583129883,0.0,32.929656982421875,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27.60602569580078,0,0,0,0,0,0,0,0.0,0,0,27.253671646118164,0,0,0,0,0,0,1.1246874332427979,0,0,0,0,0.008858025074005127,0.0,24.922189712524414,24.30392074584961,3.634565591812134,0.0,1.7194855213165283,0.0,0,11.193392753601074,0.0,0.0,12.340457916259766,0.0,0.0,0.0,6.542163848876953,0,0.0,0.0,1.5495493412017822,0.0,0.0,4.614210605621338,0.0,0.0,0.0,2.9538915157318115,0.0,0.0,0.4819872975349426,0.0,0.0,0,0.0,0.0,0.7529776692390442,0.0,1.6072561740875244,0.0,0.7768099904060364,0.11895209550857544,0.0,30.59761619567871,29.960996627807617,0.0,30.682342529296875,0.0,18.8479061126709
TEST_01+3일,0.8343325257301331,2.232841968536377,1.1795597076416016,0,0,0,0.0,0,0.0,0,0,0,0,0.5003719925880432,9.697382926940918,0,3.781737804412842,0,0,9.403495788574219,0.0,0,0,0,15.522418022155762,20.525390625,6.076717376708984,22.199172973632812,0.0,0.0,0.0,0,0,0,0,0,36.281898498535156,0.0,0,20.578279495239258,4.740540981292725,0,0,0.0,0,0,0,0.0,0,0.2904430031776428,3.4136924743652344,0,0.0,0,0,0,0,0,0,0,4.236993789672852,0.0,1.7164793014526367,3.241147994995117,0.10689550638198853,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,19.261146545410156,0,0,2.790036201477051,0,0,0,0,18.676708221435547,0.0,0,0,0.5412150025367737,0,53.34465026855469,0.0,31.736343383789062,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26.619136810302734,0,0,0,0,0,0,0,0.0,0,0,26.27952766418457,0,0,0,0,0,0,1.1136212348937988,0,0,0,0,0.03763920068740845,0.0,24.035804748535156,23.44019889831543,3.533463478088379,0.0,1.6870765686035156,0.0,0,10.816017150878906,0.0,0.0,11.921174049377441,0.0,0.0,0.0,6.335944652557373,0,0.0,0.0,1.5233688354492188,0.0,0.0,4.477834224700928,0.0,0.0,0.0,2.877241611480713,0.0,0.0,0.49392086267471313,0.0,0.0,0,0.0,0.0,0.7553315758705139,0.0,1.5789008140563965,0.0,0.7781444191932678,0.14382368326187134,0.0,29.494564056396484,28.881887435913086,0.0,29.57581329345703,0.0,18.187393188476562
