영업일자,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_BBQ55(단체),"느티나무 셀프BBQ_대여료 30,000원","느티나무 셀프BBQ_대여료 60,000원","느티나무 셀프BBQ_대여료 90,000원","느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_햇반,느티나무 셀프BBQ_허브솔트,담하_(단체) 공깃밥,담하_(단체) 생목살 김치전골 2.0,담하_(단체) 은이버섯 갈비탕,담하_(단체) 한우 우거지 국밥,담하_(단체) 황태해장국 3/27까지,담하_(정식) 된장찌개,담하_(정식) 물냉면 ,담하_(정식) 비빔냉면,담하_(후식) 된장찌개,담하_(후식) 물냉면,담하_(후식) 비빔냉면,담하_갑오징어 비빔밥,담하_갱시기,담하_공깃밥,담하_꼬막 비빔밥,담하_느린마을 막걸리,담하_담하 한우 불고기,담하_담하 한우 불고기 정식,담하_더덕 한우 지짐,담하_들깨 양지탕,담하_라면사리,담하_룸 이용료,담하_메밀면 사리,담하_명인안동소주,담하_명태회 비빔냉면,담하_문막 복분자 칵테일,담하_봉평메밀 물냉면,담하_생목살 김치찌개,담하_스프라이트,담하_은이버섯 갈비탕,담하_제로콜라,담하_참이슬,담하_처음처럼,담하_카스,담하_콜라,담하_테라,담하_하동 매실 칵테일,담하_한우 떡갈비 정식,담하_한우 미역국 정식,담하_한우 우거지 국밥,담하_한우 차돌박이 된장찌개,담하_황태해장국,라그로타_AUS (200g),라그로타_G-Charge(3),라그로타_Gls.Sileni,라그로타_Gls.미션 서드,라그로타_Open Food,라그로타_그릴드 비프 샐러드,라그로타_까르보나라,라그로타_모둠 해산물 플래터,라그로타_미션 서드 카베르네 쉬라,라그로타_버섯 크림 리조또,라그로타_빵 추가 (1인),라그로타_스프라이트,라그로타_시저 샐러드 ,라그로타_아메리카노,라그로타_알리오 에 올리오 ,라그로타_양갈비 (4ps),라그로타_자몽리치에이드,라그로타_제로콜라,라그로타_카스,라그로타_콜라,라그로타_하이네켄(생),라그로타_한우 (200g),라그로타_해산물 토마토 리조또,라그로타_해산물 토마토 스튜 파스타,라그로타_해산물 토마토 스파게티,"미라시아_(단체)브런치주중 36,000",미라시아_(오븐) 하와이안 쉬림프 피자,미라시아_(화덕) 불고기 페퍼로니 반반피자,미라시아_BBQ Platter,미라시아_BBQ 고기추가,미라시아_공깃밥,미라시아_글라스와인 (레드),미라시아_레인보우칵테일(알코올),미라시아_미라시아 브런치 (패키지),미라시아_버드와이저(무제한),미라시아_보일링 랍스타 플래터,미라시아_보일링 랍스타 플래터(덜매운맛),미라시아_브런치 2인 패키지 ,미라시아_브런치 4인 패키지 ,미라시아_브런치(대인) 주말,미라시아_브런치(대인) 주중,미라시아_브런치(어린이),미라시아_쉬림프 투움바 파스타,미라시아_스텔라(무제한),미라시아_스프라이트,미라시아_애플망고 에이드,미라시아_얼그레이 하이볼,미라시아_오븐구이 윙과 킬바사소세지,미라시아_유자 하이볼,미라시아_잭 애플 토닉,미라시아_칠리 치즈 프라이,미라시아_코카콜라,미라시아_코카콜라(제로),미라시아_콥 샐러드,미라시아_파스타면 추가(150g),미라시아_핑크레몬에이드,연회장_Cass Beer,연회장_Conference L1,연회장_Conference L2,연회장_Conference L3,연회장_Conference M1,연회장_Conference M8,연회장_Conference M9,연회장_Convention Hall,연회장_Cookie Platter,연회장_Grand Ballroom,연회장_OPUS 2,연회장_Regular Coffee,연회장_골뱅이무침,연회장_공깃밥,연회장_돈목살 김치찌개 (밥포함),연회장_로제 치즈떡볶이,연회장_마라샹궈,연회장_매콤 무뼈닭발&계란찜,연회장_모둠 돈육구이(3인),연회장_삼겹살추가 (200g),연회장_야채추가,연회장_왕갈비치킨,연회장_주먹밥 (2ea),카페테리아_공깃밥(추가),카페테리아_구슬아이스크림,카페테리아_단체식 13000(신),카페테리아_단체식 18000(신),카페테리아_돼지고기 김치찌개,카페테리아_복숭아 아이스티,카페테리아_새우 볶음밥,카페테리아_새우튀김 우동,카페테리아_샷 추가,카페테리아_수제 등심 돈까스,카페테리아_아메리카노(HOT),카페테리아_아메리카노(ICE),카페테리아_약 고추장 돌솥비빔밥,카페테리아_어린이 돈까스,카페테리아_오픈푸드,카페테리아_진사골 설렁탕,카페테리아_짜장면,카페테리아_짜장밥,카페테리아_짬뽕,카페테리아_짬뽕밥,카페테리아_치즈돈까스,카페테리아_카페라떼(HOT),카페테리아_카페라떼(ICE),카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,포레스트릿_꼬치어묵,포레스트릿_떡볶이,포레스트릿_복숭아 아이스티,포레스트릿_생수,포레스트릿_스프라이트,포레스트릿_아메리카노(HOT),포레스트릿_아메리카노(ICE),포레스트릿_치즈 핫도그,포레스트릿_카페라떼(HOT),포레스트릿_카페라떼(ICE),포레스트릿_코카콜라,포레스트릿_페스츄리 소시지,화담숲주막_느린마을 막걸리,화담숲주막_단호박 식혜 ,화담숲주막_병천순대,화담숲주막_스프라이트,화담숲주막_참살이 막걸리,화담숲주막_찹쌀식혜,화담숲주막_콜라,화담숲주막_해물파전,화담숲카페_메밀미숫가루,화담숲카페_아메리카노 HOT,화담숲카페_아메리카노 ICE,화담숲카페_카페라떼 ICE,화담숲카페_현미뻥스크림
TEST_00+1일,2.6486282,1.0,4.2822027,1.7944382,1.0,1.0,1.0,1.0,1.302827,1.0,1.0,1,1.0,1.0,9.996894,1.0,1.0,1.0,1.0,1.2501701,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,4.384028,2.3513286,2.0472333,1.2528535,1.2307205,1.0,1.0,1.0,15.223367,1.0,1.03139,10.265524,8.521726,1.0,1.0,1,1,1.6602958,1,2.2324278,1,2.0051944,6.240031,1.0,3.670862,1.0,1.0734005,1.0,1.0,1.0,1.0,1.0,5.084984,5.8429837,8.802217,5.637108,4.0322337,1.6154046,1.0,1.0,1.4906296,1.0,1.3371397,1.7577049,1.0,1.0,1.8206244,1.0,1.0,1.5092404,1.0,1.004929,1.4341046,1.0,1.0,1.0,1.0,1.0,1.1128682,1.0,1.3820742,2.6924171,1.0,1.0,1.4242896,4.6980333,1.0,1.0,1,1.0,9.672965,2.5785873,1.0833725,1.0,2.948179,1.0,122.91282,1.0,21.449175,2.2318847,2.1655722,1.0,1.4990932,1.0,1.4892137,1.0,1.0,1.0,1.0,1.0,1.6368219,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8624938,1.0,1.0,1.0,4.4289713,1.0,3.6786318,1.0,1.0,6.712465,1.0,1.0,8.161644,3.9095452,1.0,1.0,4.524145,1.0,3.3517292,1.0,3.467522,1.0,1.0,3.597818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.146471,5.8083596,12.413375,4.709061,13.376332,9.236524,4.136604,34.531315,21.96847,3.710345,19.462852,4.274254,9.202434
TEST_00+2일,1.0,21.328424,1.0,1.0,1.0,1.0,2.4707263,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,11.563064,1.0,1.0,9.735629,6.7522902,1.0,1.0,1,1.0,2.9932923,1.0,1.0,1.8715442,1.3481667,1.0443019,1.0,1.0,1.0,1.0,1.0,7.4284577,1.0,1.0,5.0336647,3.1846683,1.0,1.0,1,1,1.0,1,1.4979768,1,1.0,3.8439486,1.0,2.0565302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2389014,1.4958094,2.1664565,3.3893673,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.516377,1.0,1.0,1,1.0,8.712662,1.7086124,1.0,1.0,2.042849,1.0,1.0,57.22499,6.157762,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0371931,3.3765705,1.0,1,4.176403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6511911,1.0,1.0,5.3000574,2.7067325,1.0,1.7578765,1.0,1.0,3.0621636,1.0,1.0,3.7603486,1.1339388,1.0,1.0,1.0,1.0,1.0,1.0,1.1435604,1.0,1.0,1.7853687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEST_00+3일,1.0,11.437676,1.0648931,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,3.3612525,1.0,2.42502,1.0,1.0,3.2933848,1.0,1.0,1.0,1,1.8181133,5.6793237,1.0,48.143505,1.7396877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.950747,1.0,1.0,4.697972,3.2382524,1.0,1.0,1,1,1.0,1,1.3441237,1,1.0,4.1291304,1.0,2.3770108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.236773,1.0,1.5599085,2.8644116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0962456,1.0,1.0,1.3955282,1.0,1.0,1.0,1.0,1.1389105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.23917,1.9915314,19.974882,1.0,1.0,2.173883,1.0,1.0,1,1.0,9.002353,1.5885917,1.0,1.0,2.3135414,1.0,1.0,34.503666,3.9004264,1.2286427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0881155,2.8415668,1.0,1,8.630811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3395041,1.0,5.426831,16.73514,2.4436774,1.0,1.2365727,1.0,1.0,2.919377,1.0,1.0,3.6536634,1.1606257,1.0,1.0,1.0,1.0,1.26286,1.0,1.818947,1.0,1.0,1.8608891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.310857,2.1878514,4.1744146,1.6054436,5.127374,3.8388102,2.744898,13.893313,7.798256,2.5846565,10.828511,1.1184723,3.448735
TEST_00+4일,1.8505719,19.363379,1.65483,1.0,1.0,1.0,1.0,1.0,1.0177023,1.0,1.0,1,1.0,1.0,5.5184274,1.0,8.434021,1.0,1.0,8.5098295,1.2743683,1.0,1.0,1,4.0312486,6.2516055,1.0,35.605762,1.7762014,1.0834155,1.0074507,1.0,1.0,1.0,1.0,1.0,7.587432,1.0,1.0,4.9801726,3.7090683,1.0,1.0,1,1,1.0,1,1.6036807,1,1.0678538,4.5217113,1.0,2.6978369,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4627992,1.0,1.5977979,3.0883102,1.0,1.0,1.0,1.0,1.0474453,1.0,1.3653972,1.5832014,1.0,1.0,1.8518149,1.0,1.0,1.2657143,1.0,1.8247095,1.0118206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5161693,2.7580223,30.293608,1.0,1.0398946,2.5601947,1.0,1.0,1,1.0,9.407828,2.027354,1.0,1.0,2.1545968,1.0,1.0,26.409756,3.3175137,1.5133213,1.0017055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.3684772,4.084292,1.2030511,1,7.130669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6377406,1.0,9.138419,40.66438,2.6091719,1.0,1.6731026,1.0,1.0,3.4574366,1.0,1.0,3.9979188,1.2860929,1.0,1.0,1.6774589,1.0,1.6329123,1.0,1.7873509,1.0,1.0,2.3298898,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.136984,3.013384,4.7013054,2.0233438,5.3686194,4.0752807,2.8270564,13.433745,7.7620873,2.901127,10.108168,2.221519,4.7774854
TEST_00+5일,1.5971617,49.420815,1.8140581,1.0,1.0,1.0,4.4735045,1.0017309,1.0,1.0,1.0,1,1.0,1.2415885,5.5647635,1.0,26.497015,1.0,1.0,18.95112,15.705612,1.0,1.0,1,9.928996,24.10946,1.0,16.41246,1.6462295,1.1727928,1.0,1.0196564,1.0,1.0,1.0,1.0,8.584708,1.0,1.0,6.4831657,4.1129975,1.0,1.0,1,1,1.0,1,1.7623051,1,1.1042781,4.6894574,1.0,2.6821678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7461013,1.0,1.7305118,3.7546647,1.0008004,1.0091771,1.0,1.0,1.0,1.0,1.0430318,1.360081,1.0,1.0,1.5513328,1.0,1.0,1.051748,1.0,1.64854,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2224826,2.820754,47.15441,1.0,1.0487369,2.842882,1.0,1.0,1,1.0,11.982286,2.3406417,1.0,1.0,2.3618817,1.0,1.0,37.46062,3.3763716,1.36269,1.215793,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.93462,1.0,1.1931896,1,1,1,1.0,1.1909008,5.1682935,1.1493076,1,47.25371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3702251,1.0,20.853657,72.417564,2.4549658,1.0,1.7432725,1.0,1.0,3.2579787,1.0,1.0,5.1807494,1.1454129,1.0,1.0,1.5706513,1.0,1.5991539,1.0,1.510246,1.0,1.0,2.4793942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5162673,2.5673385,5.033995,1.7501261,5.233866,3.949825,2.4946005,13.066653,7.608976,2.315642,10.68068,1.9964263,4.409204
TEST_00+6일,1.3956393,41.025143,2.0763853,1.0,1.0,1.0,16.748085,1.0,1.0,1.0,1.0,1,1.0,1.7416432,8.100528,1.0,30.584784,1.0,1.0,24.883879,25.046295,1.0,1.0,1,9.875087,1.2372904,1.0,32.25915,2.1682725,1.510762,1.0,1.6882561,1.0930846,1.0,1.0,1.0,13.023212,1.0,1.0,11.064198,5.0891023,1.0,1.0,1,1,1.0767362,1,2.6468136,1,1.7353567,6.725365,1.0,3.3496587,1.0,1.0616416,1.0,1.0,1.0,1.0,1.0,3.3774054,1.0621114,2.3960214,5.1971803,1.4202535,1.4961615,1.0,1.0,1.3300371,1.0,1.0749707,1.4081457,1.0,1.0,1.6922505,1.0,1.0,1.192086,1.0,1.659865,1.1954087,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2064447,3.463759,35.144306,1.0,1.6121707,4.39134,1.0,1.0,1,1.0,24.76377,3.2951562,1.0,1.0,2.7523124,1.0,1.0,61.916927,4.978123,2.1564302,1.8115542,1.0,1.2554979,1.0,1.133517,1.0,1.0,1.0,1.0,1.0,1.3222383,1.0,1.0,16.193914,1.0,1.5164994,1,1,1,1.0,1.0432795,5.018018,1.2047349,1,23.656439,1.0,1.0,1.0,1.0,1.0,1.0,2.169169,1.0,1.0,1.0,1.0,2.1305108,1.0,47.477913,41.803562,3.743115,1.0,2.96157,1.0,1.0,5.4485335,1.0,1.0,10.401541,1.7301644,1.0,1.0,1.6374165,1.0,3.393782,1.0,2.213755,1.0,1.0,4.2099133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6739876,1.6339074,3.5831094,1.502375,4.6957936,2.5830722,1.6923234,8.597203,6.078718,1.1129285,11.367248,1.4648997,3.2258034
TEST_00+7일,6.01398,1.0,7.447778,4.3047404,1.0,1.0,1.0,1.3645947,1.9941252,1.0,1.0,1,1.3860943,3.3239987,24.32274,1.7554526,1.0,1.0,1.8454992,1.6825862,1.0,1.0,1.0,1,1.4762598,1.0,1.0,18.846949,4.970681,2.6742928,1.8301448,3.001443,1.6227758,1.3297778,1.0,1.0,25.409595,1.0,1.2937168,21.933424,9.753516,1.0,1.0,1,1,2.7220478,1,3.4238307,1,3.124514,9.242672,1.0,4.6394815,1.0,2.6510265,1.0,1.5256022,1.0,1.0,1.0,7.6966147,4.5867286,8.288513,7.4907675,4.582408,2.470981,1.0,1.0,2.555339,1.0,1.7725359,2.9800115,1.0,1.1930621,2.881065,1.0,1.0,2.0352626,1.0,2.4864876,2.1411915,1.1722171,1.0,1.0,1.4234991,1.7321545,2.1297877,1.337627,1.792465,4.6324058,1.0,1.1526356,2.8238988,7.653087,1.0,1.0,1,1.0,14.609199,5.482395,1.6384926,1.0,4.2120357,1.0,88.848526,1.0,16.576529,3.9706528,3.8591783,1.0,2.3296564,1.0,1.8581275,1.1414086,1.0,1.0922425,1.3033804,1.0566444,2.5673428,1.1538929,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1,1.0,2.313051,1.4196595,2.0604222,1.661748,1.0,1.6706864,5.0673785,1.3387498,1.0,1.9722837,1.0,5.126224,1.0,19.598047,1.0,6.247464,1.0,5.370326,1.0,1.0,11.2152,1.0,1.0,9.509509,4.7056413,1.0,1.0,6.54106,1.2131891,5.0402107,1.8395168,5.0158095,1.0,1.0,5.927092,1.0,1.0,1.0,3.0602105,1.0,1.0,3.5796635,1.0,1.0,1.0,1.0,1.0,16.333456,8.345218,14.840196,5.8557363,15.312381,11.815431,6.339463,39.60797,31.388683,4.623075,28.060472,6.053645,13.935473
TEST_01+1일,3.2324283,1.0,8.09239,3.0617487,1.0,1.1470491,1.0,1.6903056,1.6012825,1.0,1.0,1,1.0,1.0,14.65656,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,5.0273743,3.501332,2.6936572,2.8150468,1.9586531,1.2133508,1.0,1.0,30.573988,1.0,1.4459013,20.07265,11.996343,1.0,1.0,1,1,1.8915914,1,2.7998886,1,4.3291826,8.593089,1.0,4.2613816,1.0,1.8217739,1.0,1.189777,1.0,1.0,1.0,9.824361,7.667923,13.368285,8.809991,7.603889,1.0,1.0,1.3240217,2.5419936,1.0,1.5395771,1.0,1.0,1.0,1.8042862,1.0,1.0,1.0,1.0,2.067987,1.6520449,1.0,1.0,1.0,1.0,1.0,1.0834228,1.0,1.599176,2.8550284,1.0,1.5638151,2.812152,6.993239,1.0,1.0,1,1.0,27.377813,7.7277017,1.4343438,1.0,5.8534327,1.0,202.59822,1.0,40.737133,3.4357374,3.0755694,1.0,2.6978261,1.0,1.8423495,1.0,1.0,1.094542,2.107128,1.2780626,2.3112738,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0,1.0,1,1.0,3.0887551,2.170895,2.4282362,1.5714409,1.0,1.4054826,4.8854876,1.0,1.0,2.58779,1.4861377,7.4627113,1.0,1.0,1.0,7.574014,1.0,6.817974,1.0,1.0,16.019766,1.0,1.0,13.500165,6.787048,1.0,1.0,10.248499,1.0,5.7628245,2.8009133,6.12316,1.0,1.0,9.326379,1.0,1.0,1.0,7.612038,1.5786008,1.0,6.9636083,1.0,1.0,1.6221262,1.5912606,1.0,8.698858,6.414506,10.955222,4.98963,9.504384,12.446742,5.2941957,31.247217,26.804426,1.0,24.489336,3.2284214,20.445024
TEST_01+2일,1.0,1.0,2.7333658,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.4006939,1.0,5.079769,1.0,1.0,3.7647464,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0868219,1.0,1.0,1.5343438,1.0,1.0,1.0,1.0,18.876034,1.0,1.0,13.2622175,2.5410903,1.0,1.0,1,1,1.0,1,1.0,1,1.7136927,4.9152856,1.0,2.5392013,1.0,1.0563679,1.0,1.0,1.0,1.0,1.0,4.5575175,2.713261,3.9988985,5.0989776,2.2021086,1.0,1.0,1.0,1.3761963,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5711395,1.0,1.0,1.0,2.8924868,1.0,1.0,1,1.0,16.885813,3.243332,1.0,1.0,5.8378286,1.0,1.0,1.0,12.663019,1.4194787,1.3548788,1.0,1.0811101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.379688,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3113893,1.0,1.0,1.0,1.0,2.8306339,1.0,1.0,1.0,3.8925653,1.0,2.6567433,1.0,1.0,6.814122,1.0,1.0,8.214528,1.8348187,1.0,1.0,4.6254764,1.0,2.1259322,1.0,2.8083363,1.0,1.0,3.2110944,1.0,1.0,1.0,1.0,1.0,1.0,2.085295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TEST_01+3일,1.0,1.0,2.1099632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.4543097,1.0,1.5823852,1.0,1.0,1.0839945,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.6209909,1.0,1.0,1.3026909,1.0,1.0,1.0,1.0,15.322879,1.0,1.0,8.562682,3.1812031,1.0,1.0,1,1,1.0,1,1.0,1,1.4483186,4.485024,1.0,2.3167722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8284223,1.820664,2.6595204,4.470514,1.807299,1.0,1.0,1.0,1.3658465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5848969,1.0,1.0,1.0,2.0163805,1.0,1.0,1,1.0,11.879181,2.6490743,1.0,1.0,3.9883993,1.0,1.0,1.0,3.955424,1.241074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1.0,1.0,1.0968331,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2898468,1.0,1.0,1.0,1.0,2.2380526,1.0,1.0,1.0,3.148178,1.0,1.7491442,1.0,1.0,5.4103017,1.0,1.0,5.555508,1.8898844,1.0,1.0,3.151728,1.0,1.6958127,1.0,3.0426729,1.0,1.0,2.7014942,1.0,1.0,1.0,1.0,1.0,1.0,1.1686423,1.0,1.0,1.0,1.0,1.0,1.3944296,1.6969391,4.4432683,1.023924,3.7596674,3.670944,1.9648913,16.656961,11.55016,1.0,10.23541,1.0,6.15711
