영업일자,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_BBQ55(단체),"느티나무 셀프BBQ_대여료 30,000원","느티나무 셀프BBQ_대여료 60,000원","느티나무 셀프BBQ_대여료 90,000원","느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_햇반,느티나무 셀프BBQ_허브솔트,담하_(단체) 공깃밥,담하_(단체) 생목살 김치전골 2.0,담하_(단체) 은이버섯 갈비탕,담하_(단체) 한우 우거지 국밥,담하_(단체) 황태해장국 3/27까지,담하_(정식) 된장찌개,담하_(정식) 물냉면 ,담하_(정식) 비빔냉면,담하_(후식) 된장찌개,담하_(후식) 물냉면,담하_(후식) 비빔냉면,담하_갑오징어 비빔밥,담하_갱시기,담하_공깃밥,담하_꼬막 비빔밥,담하_느린마을 막걸리,담하_담하 한우 불고기,담하_담하 한우 불고기 정식,담하_더덕 한우 지짐,담하_들깨 양지탕,담하_라면사리,담하_룸 이용료,담하_메밀면 사리,담하_명인안동소주,담하_명태회 비빔냉면,담하_문막 복분자 칵테일,담하_봉평메밀 물냉면,담하_생목살 김치찌개,담하_스프라이트,담하_은이버섯 갈비탕,담하_제로콜라,담하_참이슬,담하_처음처럼,담하_카스,담하_콜라,담하_테라,담하_하동 매실 칵테일,담하_한우 떡갈비 정식,담하_한우 미역국 정식,담하_한우 우거지 국밥,담하_한우 차돌박이 된장찌개,담하_황태해장국,라그로타_AUS (200g),라그로타_G-Charge(3),라그로타_Gls.Sileni,라그로타_Gls.미션 서드,라그로타_Open Food,라그로타_그릴드 비프 샐러드,라그로타_까르보나라,라그로타_모둠 해산물 플래터,라그로타_미션 서드 카베르네 쉬라,라그로타_버섯 크림 리조또,라그로타_빵 추가 (1인),라그로타_스프라이트,라그로타_시저 샐러드 ,라그로타_아메리카노,라그로타_알리오 에 올리오 ,라그로타_양갈비 (4ps),라그로타_자몽리치에이드,라그로타_제로콜라,라그로타_카스,라그로타_콜라,라그로타_하이네켄(생),라그로타_한우 (200g),라그로타_해산물 토마토 리조또,라그로타_해산물 토마토 스튜 파스타,라그로타_해산물 토마토 스파게티,"미라시아_(단체)브런치주중 36,000",미라시아_(오븐) 하와이안 쉬림프 피자,미라시아_(화덕) 불고기 페퍼로니 반반피자,미라시아_BBQ Platter,미라시아_BBQ 고기추가,미라시아_공깃밥,미라시아_글라스와인 (레드),미라시아_레인보우칵테일(알코올),미라시아_미라시아 브런치 (패키지),미라시아_버드와이저(무제한),미라시아_보일링 랍스타 플래터,미라시아_보일링 랍스타 플래터(덜매운맛),미라시아_브런치 2인 패키지 ,미라시아_브런치 4인 패키지 ,미라시아_브런치(대인) 주말,미라시아_브런치(대인) 주중,미라시아_브런치(어린이),미라시아_쉬림프 투움바 파스타,미라시아_스텔라(무제한),미라시아_스프라이트,미라시아_애플망고 에이드,미라시아_얼그레이 하이볼,미라시아_오븐구이 윙과 킬바사소세지,미라시아_유자 하이볼,미라시아_잭 애플 토닉,미라시아_칠리 치즈 프라이,미라시아_코카콜라,미라시아_코카콜라(제로),미라시아_콥 샐러드,미라시아_파스타면 추가(150g),미라시아_핑크레몬에이드,연회장_Cass Beer,연회장_Conference L1,연회장_Conference L2,연회장_Conference L3,연회장_Conference M1,연회장_Conference M8,연회장_Conference M9,연회장_Convention Hall,연회장_Cookie Platter,연회장_Grand Ballroom,연회장_OPUS 2,연회장_Regular Coffee,연회장_골뱅이무침,연회장_공깃밥,연회장_돈목살 김치찌개 (밥포함),연회장_로제 치즈떡볶이,연회장_마라샹궈,연회장_매콤 무뼈닭발&계란찜,연회장_모둠 돈육구이(3인),연회장_삼겹살추가 (200g),연회장_야채추가,연회장_왕갈비치킨,연회장_주먹밥 (2ea),카페테리아_공깃밥(추가),카페테리아_구슬아이스크림,카페테리아_단체식 13000(신),카페테리아_단체식 18000(신),카페테리아_돼지고기 김치찌개,카페테리아_복숭아 아이스티,카페테리아_새우 볶음밥,카페테리아_새우튀김 우동,카페테리아_샷 추가,카페테리아_수제 등심 돈까스,카페테리아_아메리카노(HOT),카페테리아_아메리카노(ICE),카페테리아_약 고추장 돌솥비빔밥,카페테리아_어린이 돈까스,카페테리아_오픈푸드,카페테리아_진사골 설렁탕,카페테리아_짜장면,카페테리아_짜장밥,카페테리아_짬뽕,카페테리아_짬뽕밥,카페테리아_치즈돈까스,카페테리아_카페라떼(HOT),카페테리아_카페라떼(ICE),카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,포레스트릿_꼬치어묵,포레스트릿_떡볶이,포레스트릿_복숭아 아이스티,포레스트릿_생수,포레스트릿_스프라이트,포레스트릿_아메리카노(HOT),포레스트릿_아메리카노(ICE),포레스트릿_치즈 핫도그,포레스트릿_카페라떼(HOT),포레스트릿_카페라떼(ICE),포레스트릿_코카콜라,포레스트릿_페스츄리 소시지,화담숲주막_느린마을 막걸리,화담숲주막_단호박 식혜 ,화담숲주막_병천순대,화담숲주막_스프라이트,화담숲주막_참살이 막걸리,화담숲주막_찹쌀식혜,화담숲주막_콜라,화담숲주막_해물파전,화담숲카페_메밀미숫가루,화담숲카페_아메리카노 HOT,화담숲카페_아메리카노 ICE,화담숲카페_카페라떼 ICE,화담숲카페_현미뻥스크림
TEST_00+1일,7.729111,1.0,3.0325234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2055664,7.737451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.6504955,5.298459,1.0,9.837074,8.704286,1.8914355,2.6964798,1.0,1.0,1.0,1.0,1.0,19.760986,1.0,1.0,15.012303,10.484821,1.1798794,1.0,1.0,1.0,3.2704008,1.0,3.167338,1.0,1.5132525,11.392194,1.0,4.444314,1.0,1.9230235,1.0,3.4770823,1.0,1.103901,1.1108967,6.356813,10.987896,12.8834,8.241217,2.0473921,1.9812114,1.2829161,1.0,1.0,29.291845,1.0,2.1455374,1.0,4.7648787,1.487421,1.3323166,1.0,1.3873893,1.0,2.8332686,2.194147,1.4524734,1.0,1.0,1.0,1.7544326,1.0,1.0,1.4190378,2.6562176,3.9862976,1.0,1.4673128,3.097268,1.0,1.0,1.0,1.0,13.764467,2.6709995,1.1144769,1.0,4.04653,1.1442822,95.4619,30.56961,33.232384,1.5593019,3.5203145,1.0,3.2104592,1.0,1.7933954,1.0,1.0,1.0,1.0,1.0,1.5928814,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.227333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0981555,1.0,1.0,1.0,8.109117,1.0,2.8895025,1.0,1.0,13.390872,1.0,1.0,10.930078,1.5115315,1.0,1.0,4.621558,1.0,5.2603054,1.0313759,5.697337,1.0,1.0,5.647764,1.0,1.0,1.0,1.1569724,1.0,1.0,1.5477755,1.0,1.0,1.0,1.0,1.0,15.376241,7.909545,20.164722,3.5359774,11.358618,16.558064,3.6152842,50.360195,26.972408,6.7116547,26.847822,11.003935,10.702946
TEST_00+2일,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6084728,1.0,1.0,3.5858784,1.0,1.0,1.0,1.0,11.225246,39.23015,1.0,7.8918877,1.0014851,1.0,1.2500488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0933561,1.0,1.0,1.5151489,1.0,1.0,1.0,1.7544827,1.0,1.5094028,3.7254772,1.0,2.2764864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.05166,8.313252,3.3831246,2.779852,1.0,1.0,1.0,1.0,8.846151,1.0,1.0,1.0,1.1635844,1.0,1.0,1.0,1.2138401,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.212912,1.0,1.0,1.0,1.0,37.572365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.841833,1.0,1.0,1.0,3.653713,1.0,21.739857,55.724342,16.889559,1.0,1.2080916,1.0,1.1889105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3675957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2406065,1.3661,1.0,96.79342,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5945241,1.0,1.0,19.2874,3.2638667,1.0,1.5292509,1.0,1.0,4.3502088,1.0,1.0,7.032129,1.0,1.0,1.0,1.0,1.0,1.0,1.595641,1.0,1.0,1.0,2.0401094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.139584,3.4317713,6.7360325,2.4448466,4.7427263,7.8643827,2.7963083,27.310095,16.754375,2.3002982,19.952293,5.5843315,8.99979
TEST_00+3일,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3621559,52.954475,1.0,3.8184433,1.0,1.0,1.0,1.0,1.0,1.0,1.4566143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7182331,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3640404,3.3042586,2.142565,2.476272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.530459,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.407299,1.0,1.0,1.0,1.0,59.121437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2914448,1.0,1.0,1.0,1.0,1.0,1.0,42.777023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.358818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8268925,1.0,140.7725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8013377,1.0,1.0,28.868782,1.524152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.1854916,1.0,1.0,1.0,1.0,1.0,1.0,2.315744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.1511326,1.4840341,1.6204052,1.085943,2.4537296,4.0599384,1.400168,15.251743,9.2745,1.2419314,11.558716,3.572578,3.6618671
TEST_00+4일,4.7593837,11.598873,1.0,1.0,1.0,1.0,3.8681436,1.0,1.1840317,1.0,1.9148023,1.0,1.0,2.075616,3.235301,1.0,9.771057,1.0,1.0,14.253599,2.5315714,1.0,1.0,1.547767,20.993784,22.116444,3.4016514,18.194736,1.9254911,1.0,1.0,1.0,1.4845562,1.0353414,1.59858,1.0,5.0948343,1.0,1.0,2.3961277,2.7477374,1.0,1.0,1.4580543,1.0,1.0,1.0,1.4161042,1.0,1.0852292,4.5006733,1.0,2.0932813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9402819,1.0082917,3.852428,3.7967598,1.0,1.0,1.0,1.0,1.2624444,1.0,1.2660398,1.0,1.0,1.9094013,1.0,1.0,1.0,1.0,2.5045974,1.0,1.0,1.0,1.0,1.0,2.3655162,1.0,1.0,1.1709417,1.6472582,37.741806,1.0,1.0,1.5209489,1.0,1.0,1.0,1.0,4.5404406,2.3666975,1.1367856,1.0,1.0,1.0,1.0,41.379158,1.0,1.1590979,1.7654858,1.0,1.6068056,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.430491,1.0,1.4467134,1.2881361,1.0,68.0895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.009701,30.726238,2.2152545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.8124647,1.0,1.0,1.0,1.0,1.0,1.0,2.2431693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.262228,6.846408,7.1561546,1.1221423,3.5118055,9.835086,3.4985135,25.703684,19.39854,3.9630888,25.981945,7.3188596,11.200144
TEST_00+5일,8.080545,5.099865,1.3230107,1.0,1.0,1.1122731,1.0,4.3848925,2.1843958,1.0,1.8873788,1.0,1.0696899,3.7490373,8.484567,1.0,3.687519,1.0,1.0797356,13.453119,1.0,1.0,1.0,1.3310895,22.586767,6.04467,11.032008,19.865292,4.9720635,4.130618,1.0,1.7529863,2.2036872,1.0,1.0,1.0,13.807833,1.0,1.0,8.052999,7.602754,1.0,1.0,1.0,1.0,1.0,1.0,2.7621894,1.2526567,1.0,5.390731,1.0,3.2384424,1.0,2.5626836,1.0,1.0,1.0,1.0,1.0,1.5076823,1.0,1.0,7.099599,1.0,1.0,1.4454696,1.0,1.8986273,1.0,3.1201897,2.3414454,1.0,1.0,6.612779,1.3909171,1.0,1.3974959,1.0,2.9782147,1.8983982,1.5644363,1.0,1.7723744,2.7456567,4.414511,1.0,1.0,2.218515,5.1986217,56.432747,1.0,1.0,3.2299595,1.0,1.0,1.0,1.0,9.397282,1.0,1.0,1.0,1.0185053,1.0,1.0,31.934546,1.0,1.6268836,1.0,1.4493492,2.3000216,1.0,1.0,1.0,1.0,1.0,1.0,1.9749002,1.769146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3704405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9515634,1.0,1.0,1.0,1.0,1.0,1.0,2.157507,1.0,1.0,1.0,1.5227678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.6638427,5.222517,8.640124,1.4871418,4.5902596,5.7606845,2.8266115,15.774742,17.991278,3.6124318,38.606045,7.6192303,7.1382055
TEST_00+6일,8.270619,1.0,4.004407,1.0,1.0,3.7479715,1.0,3.1869764,5.2221437,1.0,1.0,1.0,1.1378546,8.357462,12.39,1.0,1.0,1.0,1.3680128,1.0,1.0,1.0,1.0,1.0,1.0,8.874903,1.0,56.7045,6.633316,2.5130699,1.0,2.1987562,4.675647,1.3215339,1.0,1.0,22.786785,1.0,2.6382108,15.992006,11.8622055,1.0,1.0,1.0,1.0,1.0,1.0,3.4134295,1.926617,1.0,10.015263,1.0,7.2199945,1.0,2.985402,1.0,1.0,1.0,1.0,1.0,4.783143,1.0,1.0,9.581217,1.0,1.0,1.0,1.0,1.0,13.073338,1.0509664,1.780505,1.0,2.0894022,2.7951918,1.0,1.0,1.0,1.0,2.629181,1.8068235,1.7685001,1.0,1.12903,2.573449,1.0,2.8224254,1.0,1.3035104,2.727882,16.421997,1.0,1.0581069,3.2163627,1.0,1.0,1.0,1.0,19.793568,1.0,1.0,1.0,2.9977837,1.0,1.0,39.97306,2.6605148,2.0676997,1.0,1.0,1.1851281,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.448753,1.0,1.0,1.0,1.12307,1.0,1.0,1.0,1.0,1.0,2.1598287,1.0,1.0,1.7882862,1.0,1.0,1.0,1.0,1.0,3.6730127,1.0,1.7107484,1.0,1.0,3.5691876,1.0,1.0,7.631509,1.0,1.0,1.0,1.5309951,1.0,2.9123628,1.10092,1.723004,1.0,1.0,2.6074982,1.0,1.0,1.0,2.6802666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.783198,2.0520048,12.176111,1.0,5.834073,3.3025465,3.26649,17.10807,10.059683,2.0735257,15.613197,3.773222,5.1675653
TEST_00+7일,12.838121,1.0,5.0170717,1.0,1.3850169,1.3448071,1.0,1.0,2.615731,1.4331787,1.0,1.0,1.084567,5.0955353,12.283265,1.0,1.0,1.6467566,1.4241445,1.0,1.0,1.0,1.0,1.0,1.0,1.1060429,1.0,25.010338,8.980198,3.307843,1.4795997,1.6400926,2.2403183,1.1379393,1.0,1.0,28.49245,1.0,2.0016468,21.298576,12.82561,2.1244054,1.0,1.0,1.0,1.6504321,1.0,3.6235328,2.5401397,1.0,15.0371685,1.0,6.4490004,1.0,5.0546436,1.0,2.0970056,1.0,1.1197413,1.0052671,7.2233286,2.1698332,1.5229287,11.991451,1.0,2.6200447,1.0,1.0,1.0,10.807329,1.0,2.9394293,1.0,2.6754353,2.036443,1.0,1.0,1.0,1.0,2.5492206,1.1597204,1.0,1.0,1.0,1.4665945,1.0,2.4325438,1.0,1.0834512,2.8406682,1.0,1.0,1.4180949,3.8669581,1.0,1.0,1.0,1.0,13.502591,1.9361105,1.0,1.0,5.9096956,1.0,1.0,37.440334,5.1925707,1.9037685,1.8646877,1.0,4.0240774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.850334,1.0,1.0,1.0,1.6241441,1.0,1.0,1.0,1.0,1.1966643,1.0,1.0,1.0,1.6377844,1.0,1.8668919,1.0,1.0,1.0,7.2795544,1.0,3.0575593,1.0,1.0,5.6122622,1.0,1.0,8.4695215,1.0,1.0,1.0,4.2938347,1.0,4.7014427,1.5578755,4.164014,1.0,1.0,4.1087623,1.0,1.0,1.0,2.9591148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.829145,4.2982817,15.905613,1.0,8.320448,7.488268,4.0993943,23.16632,21.182377,3.7456264,14.731356,8.164042,6.8029194
TEST_01+1일,1.6729286,1.0,10.045691,3.3377883,1.0,1.5974278,1.0,1.9935808,4.863345,1.0,1.0,1.0,1.0,1.0778787,11.653036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.9112773,4.5243235,1.0,25.313232,2.6991396,2.5309525,1.7568699,4.8458915,3.239691,3.1780632,1.0,1.0,35.30491,1.0,1.6513683,27.281261,7.4093757,1.0,1.0,1.0,1.0,2.6868095,1.0,3.7949135,1.1107422,6.432116,8.874243,2.026009,3.5631895,1.0,1.9450171,1.0,1.6464462,1.0,2.0287473,1.0,11.22315,7.460194,7.044383,7.4925632,8.730446,1.2029812,1.0,1.6281557,2.341419,1.0,1.0949922,1.0,1.0014404,1.0,1.6104704,1.9512591,1.0,1.0,1.0,2.9597433,1.1856637,1.0,1.0,2.4586473,1.0,1.8818442,1.2768496,1.9039011,1.0,2.8543358,5.5381274,1.0,3.9178066,6.347709,1.0,1.0,1.0,1.0,19.844822,5.1850433,1.051582,1.0,6.8635564,1.0,116.31804,1.0,50.294968,4.0442147,3.1041977,1.8882185,3.8448544,1.025317,1.5865177,1.0,1.0,1.2634773,1.6817279,1.4435897,1.9927675,1.0,1.0,21.531311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.205754,1.0,1.0,29.661833,3.3434324,4.637765,4.624022,1.7361283,1.0,1.1334044,4.0105057,1.0,1.4669051,3.4816813,1.3921206,6.8793144,1.0,5.8004684,1.0,10.257652,1.0,8.984821,1.0,1.0,16.972897,1.0,1.0,14.7175455,5.7809315,1.0,1.0,12.504606,1.0,5.3986387,2.451415,6.428271,1.0,1.0,10.890584,1.0,1.1014951,1.0,7.92866,1.0,1.0,7.3914976,1.0,1.0,1.8686461,1.9603484,1.0,6.1418915,2.9901836,6.683305,2.271988,6.0994005,5.8013425,4.7406225,19.54295,18.98671,1.0,15.606976,3.1349115,14.316985
TEST_01+2일,2.2727585,1.153898,6.1362247,2.0240655,1.0,1.8275348,1.5604938,1.0,1.69028,1.0,1.0,1.0,1.0,1.6561762,6.0312366,1.0,1.8447827,1.0,1.0,3.8551393,1.5065402,1.0,1.0,1.0,5.660159,3.1014757,1.0,5.1880064,2.7163928,1.706988,1.0,7.5467405,4.0054345,2.513159,1.0,1.0,32.066467,1.0,1.0,31.428818,6.5933857,1.0,1.0,1.0,1.0,4.665389,1.0,2.5416732,1.0,5.2809777,9.145562,1.0,2.8395314,1.0,3.459692,1.0,1.0,1.0,2.506754,1.0,10.626306,3.720876,4.1472945,8.150725,6.8730097,1.428177,1.0,1.0,4.43578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4031696,1.0,1.0,1.0,1.5054706,1.5263917,1.4820014,1.0,1.4333339,1.0,1.7267429,1.6836424,1.9280082,4.086887,5.277611,1.0,1.0,1.025983,1.0,30.601585,5.1258173,1.5269002,1.0,8.184514,1.0,12.606735,1.0,31.384605,4.5832486,2.258047,1.7412968,4.9075136,1.0,2.0311291,1.0,1.0,1.0,1.6514933,1.0,1.9116375,1.0,1.0,8.243641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6131369,1.0,1.0,23.17433,3.2829125,1.5260255,2.5643394,2.2183614,1.0,1.4107013,4.0973654,1.0,1.0,2.975287,1.6745801,4.8143907,1.0,9.255785,9.833179,10.259102,1.0,8.3264885,1.0,1.0,10.567691,1.0,1.0,13.801289,3.8992612,1.0,1.0,10.089688,1.0,3.842616,2.4056094,5.471135,1.0,1.0,7.7656574,1.0,1.1638422,1.0,1.2965045,1.8223734,1.0,7.3333955,1.0,1.0,1.1962218,1.5135865,1.0,2.9000149,2.3199363,4.266109,1.5408025,2.772161,4.0414352,1.8525285,13.823565,12.026499,1.0538976,10.796604,4.9250154,8.516218
TEST_01+3일,1.8362336,1.0,4.7772584,1.0893769,1.0,1.0,1.7965595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0474806,1.0,1.0,1.0,1.0964411,4.0150304,1.5207342,1.0,1.0,1.0,6.681192,1.0,1.3480272,2.6695786,2.9425511,1.0,1.0,6.389752,2.7742786,1.3131632,1.0,1.0,28.770775,1.0,1.0,33.14894,5.8502107,1.0,1.0,1.0,1.0,3.8316426,1.4836252,2.2919345,1.7721651,4.4046574,6.7821827,1.0,2.8070655,1.0,4.981946,1.0,1.0748606,1.0093431,2.1114368,1.0,7.860381,3.2928398,3.0305548,7.945936,6.011335,1.1060734,1.0,1.0,4.875423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.479625,1.3590807,1.0,1.0,1.0,1.9073331,1.8566103,1.0430841,2.080233,3.4896727,1.0,1.0,1.0,1.0,28.854261,2.4442992,1.3012179,1.0,7.2692246,1.0,1.0,1.0,26.540997,2.3526483,2.0029461,1.0,2.627667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1209285,1.0,5.2058372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4100676,1.0,1.0,27.101114,3.7893968,1.2518463,1.953412,1.0,1.0,1.4461913,3.349749,1.0,1.0,2.3966587,1.0,2.9650965,1.0,1.0,1.0,5.7497253,1.0,4.4773893,1.0,1.0,8.340442,1.0,1.0,11.451066,2.0957146,1.0,1.0,4.905856,1.0,3.0575333,1.5891364,4.415868,1.0,1.0,6.785038,1.0,1.4835006,1.0,1.0,1.0,1.0,2.8748982,1.0,1.0,1.0,1.0,1.0,2.5130887,1.7684004,4.0221434,1.0542102,3.2557983,4.118928,1.3439686,14.012199,14.132308,1.0,10.736954,7.406412,10.673019
